"Name"
"Abara, Stefan"
"Abazaj, Kristal"
"Abazi, Valon"
"Abdi, Almen"
"Abdurahimi, Besart"
"Abdurahmani, Serxhio"
"Abibi, Alessio"
"Abrashi, Amir"
"Ademaj, Altin"
"Ademi, Elton"
"Ademi, Faton"
"Ademi, Orhan"
"Ademi, Valon"
"Aftab, Hushyar"
"Agolli, Robert"
"Ahmedi, Valon"
"Ahmetaj, Alessandro"
"Ahmetaj, Valon"
"Ahmeti, Bujar"
"Ahmeti, Ljiridon"
"Ajazi, Bersi"
"Ajazi, Egzon"
"Ajdarevic, Alfred"
"Ajdarevic, Arben"
"Ajdarevic, Astrit"
"Ajeti, Adonis"
"Ajeti, Albian"
"Ajeti, Arlind"
"Ajeti, Bajram"
"Alia, Marco"
"Aliaj, Toni"
"Alija, Ifraim"
"Aliji, Naser"
"Alimi, Isnik"
"Aliti, Fidan"
"Alla, Albi"
"Alla, Julian"
"Aluku, Esmerald"
"Ameti, Jetmir"
"Andersson, Ivan"
"Arapi, Alessandro"
"Arapi, Galip"
"Arapi, Klejdi"
"Arifi, Alban"
"Arifi, Jeton"
"Arifovic, Ibrahim"
"Aslani, Armend"
"Asllani, Kreshnik"
"Asllani, Kristjan"
"Avdijaj, Albion"
"Avdijaj, Donis"
"Azemi, Arif"
"Azemi, Fitim"
"Azemi, Ilir"
"Aziri, Florent"
"Azizi, Feston"
"Baci, Nigler"
"Badalli, Pajtim"
"Bajrami, Behar"
"Bajrami, Geraldo"
"Bajselmani, Destan"
"Bakaj, Elis"
"Bakaj, Viktor"
"Bakalli, Franc"
"Balaj, Andis"
"Balaj, Bekim"
"Balliu, Ivan"
"Bardhi, Enis"
"Bare, Keidi"
"Barka, Emiliano"
"Basha, Arber"
"Basha, Edon"
"Basha, Julian"
"Basha, Migjen"
"Basha, Vullnet"
"Bedjeti, Enea"
"Behrami, Valon"
"Beka, Rovinson"
"Bekirovski, Arjan"
"Belerj, Nikos"
"Bena, Dimitris"
"Beqaj, Granit"
"Beqiri, Ardit"
"Beqiri, Edon"
"Beqiri, Julian"
"Beqiri, Qendrim"
"Berbatovci, Albert"
"Berberi, Sokol"
"Berisha, Albert"
"Berisha, Bernard"
"Berisha, Bleron"
"Berisha, Durim"
"Berisha, Etrit"
"Berisha, Granit"
"Berisha, Ilir"
"Berisha, Mergim"
"Berisha, Mergim"
"Berisha, Valmir"
"Berisha, Veton"
"Bilali, Denis"
"Bilibashi, Mishel"
"Bimaj, Alex"
"Binaku, Egzon"
"Birbili, Ervin"
"Biris, Alexandros"
"Blacerj, Jorgo"
"Blliku, Ilir"
"Bogdani, Donald"
"Bojaj, Flo"
"Bonte, Paris"
"Bozhanaj, Jano"
"Bozhanaj, Kleis"
"Brahimi, Mergim"
"Braho, Metjon"
"Braho, Redi"
"Bregaj, Elsamed"
"Bregu, Giorgos"
"Broja, Armando"
"Buja, Henor"
"Bulku, Arben"
"Bulku, Leonardo"
"Bullari, Emiljano"
"Bunjaki, Enis"
"Bunjaku, Alban"
"Bunjaku, Albert"
"Bunjaku, Imran"
"Buqaj, Arben"
"Buzuku, Granit"
"Bytyqi, Bardhec"
"Bytyqi, Enis"
"Caka, Marsel"
"Callaku, Zemri"
"Cani, Edgar"
"Capnagaj, Bajram"
"Carolus, Kerim"
"Ceka, Jason"
"Cekici, Endri"
"Cela, Aisel"
"Cela, Altin"
"Cela, Kevin"
"Cela, Lezion"
"Celani, Fatjon"
"Celina, Bersant"
"Celina, Loti"
"Cema, Altin"
"Cenaj, Drilon"
"Cici, Gjergji"
"Cikalleshi, Sokol"
"Ciku, Elvist"
"Cimili, Behar"
"Cipi, Jorgo"
"Citaku, Gentrit"
"Cuculi, Mishel"
"Dacaj, Eros"
"Dakaj, Dardan"
"Dalipi, Kevin"
"Dallku, Ardin"
"Dautaj, Bujar"
"Dautaj, Endri"
"Dauti, Mus"
"Dauti, Vulnet"
"Delia, Arando"
"Demalijaj, Albrim"
"Dembacaj, Denis"
"Demolli, Gentian"
"Dermaku, Kastriot"
"Dervishi, Erjon"
"Dervishi, Mergim"
"Dervishi, Sunaj"
"Dhima, Eglantin"
"Dhimitri, Alqi"
"Dimas, Giorgos"
"Dimoutsos, Elini"
"Dinaj, Gent"
"Djimsiti, Berat"
"Dobra, Armando"
"Doci, Martin"
"Doda, Armelo"
"Doda, Masimiliano"
"Doko, Igli"
"Doku, Elton"
"Domi, Mariglen"
"Done, Maraldo"
"Dresevic, Ibrahim"
"Duda, Alqi"
"Duga, Giannis"
"Duka, Dilly"
"Durmishaj, Fiori"
"Durmisi, Riza"
"Duro, Gentian"
"Dushkaj, Jurgen"
"Dzemaili, Blerim"
"Ejupi, Albert"
"Ejupi, Landrit"
"Ejupi, Muzafer"
"Elezaj, Ardian"
"Elezaj, Entonjo"
"Elezi, Fatlum"
"Elezi, Gani"
"Elmazovski, Shain"
"Ereki, Kledis"
"Faniq, Besemir"
"Fatjon, Andoni"
"Fejzullahu, Arbnor"
"Fejzullahu, Erton"
"Fejzullahu, Mergim"
"Feka, Dren"
"Ferati, Alban"
"Ferati, Arianit"
"Ferati, Beg"
"Ferati, Fatmir"
"Fipe, Kostas"
"Frrokaj, Norbert"
"Furxhiu, Apostol"
"Gaqollari, Lazaros"
"Gashi, Albin"
"Gashi, Ardian"
"Gashi, Drin"
"Gashi, Leonardo"
"Gashi, Leotrim"
"Gashi, Liridon"
"Gashi, Shkelzen"
"Gavazaj, Enis"
"Gega, Enis"
"Gega, Erti"
"Gercaliu, Ronald"
"Gerxhaliu, Fisnik"
"Gerxhaliu, Nazmi"
"Gezos, Kosmas"
"Giatis, Vangelis"
"Gici, Aldo"
"Gici, Fation"
"Gika, Ilia"
"Gikas, Stelios"
"Gjasula, Jurgen"
"Gjasula, Klaus"
"Gjata, Hajdin"
"Gjeci, Aurel"
"Gjeka, Gjergji"
"Gjini, Christian"
"Gjini, Damjano"
"Gjini, Dionis"
"Gjino, Klodian"
"Gjonaj, Egzon"
"Gjoshi, Heroid"
"Gjura, Kleto"
"Gkertos, Andreas"
"Golaj, Kastriot"
"Grezda, Eros"
"Grica, Alessio"
"Guidara, Tomas"
"Guri, Sidrit"
"Gurini, Marjan"
"Gurma, Andriko"
"Hadergjonaj, Florent"
"Hadzi, Merlin"
"Hajdari, Ermal"
"Hajdari, Fisnik"
"Hajrulla, Romarjo"
"Haksabanovic, Sead"
"Halili, Elton"
"Halili, Ndriqim"
"Halimi, Besar"
"Hamataj, Skerdi"
"Hasa, Christian"
"Hasa, Leutrim"
"Hasanbelli, Altin"
"Hasani, Ferhan"
"Hasani, Shpetim"
"Haxhiu, Ernold"
"Haziri, Naim"
"Hebaj, Rubin"
"Hetemaj, Perparim"
"Hetemi, Rilind"
"Hoda, Denis"
"Hodja, Dren"
"Hotnjani, Alban"
"Hoxha, Andrea"
"Hoxha, Faton"
"Hoxha, Marco"
"Hoxha, Omar"
"Hoxha, Rrezart"
"Hoxha, Sajmir"
"Hoxha, Vigan"
"Hoxhalli, Gerti"
"Hyka, Jahmir"
"Hysa, Andrea"
"Hysa, Erjon"
"Hysaj, Elseid"
"Hysaj, Fatjon"
"Hyseni, Astrit"
"Hyseni, Fuad"
"Hyseni, Haris"
"Hysi, Kevi"
"Hyso, Amarildo"
"Hysoli, Bardhi"
"Iberdemaj, Ideal"
"Ibisi, Arbnor"
"Ibrahimaj, Ali"
"Ibrahimi, Brijan"
"Ibraimi, Agim"
"Ibraimi, Fitim"
"Ibraimi, Mergim"
"Idrizi, Floriand"
"Idrizi, Renato"
"Idrizi, Zahir"
"Iljazi, Eduart"
"Imeri, Adrian"
"Iseini, Nafi"
"Islami, Fikret"
"Islami, Liridon"
"Ismail, Zeli"
"Ismaili, Enea"
"Ismaili, Samuel"
"Ismaili, Shaban"
"Ismajli, Ardian"
"Istrefi, Adrian"
"Istrefi, Andi"
"Istrefi, Arber"
"Istrefi, Gzim"
"Isufaj, Andrea"
"Izem, Rochdi"
"Jakupi, Jeton"
"Jakupi, Vangjel"
"Januzaj, Adnan"
"Jashari Tahiraj, Liridon"
"Jashari, Arton"
"Jonuzi, Klevis"
"Jusufi, Berat"
"Jusufi, Brunild"
"Jusufi, Ilir"
"Kabashi, Arian"
"Kabashi, Armend"
"Kabashi, Astrit"
"Kabashi, Elvis"
"Kace, Ergys"
"Kacurri, Oresti"
"Kadiu, Xhino"
"Kadrii, Bashkim"
"Kadrijaj, Valonis"
"Kadriu, Alban"
"Kaja, Egli"
"Kajtazi, Bjorn"
"Kakko, Giorgos"
"Kalaj, Sergio"
"Kalogeris, Aineias"
"Kalogeris, Alexandros"
"Kamberi, Florian"
"Kapino, Stefanos"
"Kapllani, Edmond"
"Kapllani, Olgert"
"Kapllani, Roland"
"Kaptelli, Rexhino"
"Karimani, Dardan"
"Kariqi, Kostandin"
"Karrica, Bernard"
"Kasa, Mikea"
"Kasa, Redi"
"Kasami, Pajtim"
"Kasneci, Leonidas"
"Kastrati, Artian"
"Kastrati, Elhan"
"Kastrati, Flamur"
"Kastrati, Ilir"
"Kastrati, Lirim"
"Kastrati, Lirim"
"Kastrati, Munir"
"Kcira, Robert"
"Keli, Cristo"
"Kelmendi, Bledar"
"Keri, Florenc"
"Kiptiu, Gentian"
"Kishta, Emilio"
"Kjaili, Aleksander"
"Koci, Eris"
"Koka, Gentian"
"Kola, Roland"
"Kolaj, Aristide"
"Kolaj, Mariglen"
"Kolgeci, Besfort"
"Kolgjini, Fabian"
"Kolici, Bleron"
"Kolici, Egzon"
"Kololli, Benjamin"
"Kone, Panagiotis"
"Kontis, Giannis"
"Koreta, Giannis"
"Koshi, Andi"
"Koumis, Kostas"
"Kouros, Alexandros"
"Kraja, Erdis"
"Krasniqi, Abedin"
"Krasniqi, Atmir"
"Krasniqi, Bledian"
"Krasniqi, Erolind"
"Krasniqi, Genc"
"Krasniqi, Jetmir"
"Krasniqi, Kamer"
"Krasniqi, Kreshnik"
"Krasniqi, Qendrim"
"Krasniqi, Riad"
"Krasniqi, Shkelqim"
"Kruti, Alqi"
"Kryeziu, Hekuran"
"Kryeziu, Mirlind"
"Kukeli, Burim"
"Kumbulla, Marash"
"Kuqi, Arbnor"
"Kuqi, Armand"
"Kurtaj, Gramoz"
"Kurti, Emiljano"
"Kurti, Zan"
"Kurtisi, Mensur"
"Kushta, Kristian"
"Laci, Angelo"
"Laci, Qazim"
"Lakti, Erald"
"Lala, Endri"
"Lalais, Alexandros"
"Lamge, Franko"
"Latifi, Liridon"
"Latifi, Mentor"
"Lazraj, Arianit"
"Leandro"
"Leco, Lamjon"
"Lekaj, Alban"
"Lekaj, Viktor"
"Lenjani, Ermir"
"Lici, Ceti"
"Lici, Dimitris"
"Lici, Kejdi"
"Lico, Dean"
"Lika, Bujar"
"Lila, Andi"
"Lilolari, Ilir"
"Lipi, Bruno"
"Lipoveci, Qendrim"
"Ljuti, Valon"
"Llenga, Albi"
"Lleshi, Ilir"
"Lleshi, Srdan"
"Lluca, Ergin"
"Llullakaj, Florian"
"Llullaku, Azdren"
"Lokaj, Fabian"
"Lolos, Klaidi"
"Loshi, Skender"
"Lucaj, Niko"
"Luka, Reardo"
"Lushi, Atdhedon"
"Lushtaku, Kreshnik"
"Lushtaku, Kushtrim"
"Maholli, Kushtrim"
"Maholli, Shkodran"
"Mako, Orestis"
"Makolli, Trimi"
"Mala, Eraldo"
"Mala, Tim"
"Malci, Flosard"
"Maloku, Elvir"
"Maloku, Leonardo"
"Maloku, Progon"
"Maloku, Taulant"
"Maloku, Trojan"
"Manaj, Rey"
"Manari, Esler"
"Mani, Elvis"
"Manollari, Zhaferr"
"Marcos dos Santos"
"Marina, Enver"
"Markaj, Aleksander"
"Markaj, Denis"
"Markaj, Fabijan"
"Markos, Vasilis"
"Marku, Flavio"
"Matoshi, Genc"
"Matoshi, Shpend"
"Mavraj, Mergim"
"Mece, Neshat"
"Meci, Serxhio"
"Meha, Alban"
"Mehmeti, Agon"
"Mehmeti, Anis"
"Mehmeti, Ersi"
"Mehmeti, Gentian"
"Mehmeti, Lulzim"
"Mehmetllari, Arber"
"Meksi, Jorgo"
"Melkas, Ilias"
"Mema, Armelindo"
"Mema, Lirim"
"Memaj, Nikson"
"Memishi, Feta"
"Memolla, Hysen"
"Memushaj, Ledian"
"Memushi, Petro"
"Meniku, Denis"
"Menka, Orest"
"Mero, Lefter"
"Merovci, Alban"
"Mersinaj, Jon"
"Mertkola, Ameraldo"
"Metaj, Shkodran"
"Mezini, Andrea"
"Mezini, Ardit"
"Mezini, Ermis"
"Mico, Antonio"
"Miftari, Athde"
"Miftari, Ilir"
"Mihaj, Enea"
"Minaj, Elion"
"Mingas, Christos"
"Miruku, Joreldo"
"Misku, Markeljan"
"Molla, Marco"
"Mone, Themistokli"
"Morina, Alban"
"Morina, Andi"
"Morina, Andi Andri"
"Morina, Arber"
"Morina, Arian Ari"
"Morina, Blerind"
"Morina, Esad"
"Morina, Ljiridon"
"Motori, Furkan"
"Muca, Bledi"
"Muca, Eduart"
"Muca, Egzon"
"Muca, Ergin"
"Muca, Fatjon"
"Muca, Jorgji"
"Muca, Klejdi"
"Mucaj, Emiljano"
"Muci, Alexander"
"Mucolli, Agon"
"Mucolli, Arbnor"
"Muho, Veton"
"Muriqi, Rinor"
"Muriqi, Vedat"
"Muslija, Florent"
"Mustafa, Besart"
"Mustafa, Valdrin"
"Mustafi, Artur"
"Mustafi, Daniel"
"Mustafi, Nuri"
"Mustafi, Shkodran"
"Mustafi, Shqiprim"
"Muzaqi, Albian"
"Myftari, Fisnik"
"Myrteza, Isuf"
"Naka, Stelios"
"Natsis, Christakis"
"Ndoj, Emanuele"
"Ndoj, Emiljano"
"Ndoj, Juli"
"Ndraxhi, Glejdis"
"Ndrecka, Angelo"
"Ndreu, Jetan"
"Ndreu, Luis"
"Nezha, Samuel"
"Nikci, Adrian"
"Nikolli, Jurgen"
"Ninis, Sotiris"
"Nokaj, Mario"
"Nokas, Kliton"
"Ntounis, Markos"
"Nuredini, Shkodran"
"Nushi, Kristian"
"Omeraj, Andon"
"Osmanaj, Liridon"
"Osmani, Altin"
"Osmani, Julian"
"Osmani, Kristian"
"Pacarizi, Drilon"
"Pajaziti, Altrim"
"Pajaziti, Leotrim"
"Pali, Ilir"
"Paloka, Cristian"
"Papa, Enriko"
"Pappas, Dimitris"
"Paqarada, Leart"
"Parisio, Alessio"
"Pasha, Patrick"
"Pashaj, Aldjon"
"Pelinku, Izmir"
"Pepa, Avni"
"Pepa, Willy"
"Pepsi, Gezim"
"Perdedaj, Fanol"
"Perpepaj, Denis"
"Pestisha, Jeton"
"Pici, Arber"
"Pici, Klajdi"
"Pjetri, Franz"
"Plaka, Daniel"
"Plantzos, Viktoras"
"Pllana, Leonard"
"Pllana, Mergim"
"Pnishi, Alban"
"Prendi, Ardit"
"Prenga, Herdi"
"Prifti, Erind"
"Priftis, Gerasimos"
"Prodani, Indrit"
"Puci, Theodhori"
"Pukaj, Jozef"
"Qaka, Kamer"
"Qollaku, Arijan"
"Qoraj, Meriton"
"Qose, Kristi"
"Rada, Armand"
"Rama, Albert"
"Rama, Fabio"
"Rama, Renaldo"
"Rama, Rezart"
"Rama, Valton"
"Ramadanaj, Fisnik"
"Ramadani, Adrian"
"Ramadani, Edmond"
"Ramadani, Erald"
"Ramadani, Kledi"
"Ramadani, Naser"
"Ramadani, Ylber"
"Ramaj, Alban"
"Rami, Gezim"
"Ramizi, Samir"
"Rashani, Elba"
"Rashica, Milot"
"Rashica, Valdrin"
"Rashiti, Adthe"
"Redjepi, Fatjon"
"Redzepi, Haris"
"Redzovic, Argzim"
"Reka, Kristian"
"Renja, Andi"
"Renneke, Bashkim"
"Rexhbecaj, Elvis"
"Rexhepi, Ardian"
"Rexhepi, Dardan"
"Rexhepi, Shane"
"Rexhepi, Xhavit"
"Roshi, Odise"
"Rossi, Leonidas"
"Rota, Aris"
"Rota, Daniel"
"Rota, Lazaros"
"Rouboulakou, Simos"
"Rrahmani, Amir"
"Rrapaj, Irdi"
"Rrustemi, Blerim"
"Ruka, Faton"
"Rupi, Mateo"
"Rutishauser, David"
"Sabanei, Thodoros"
"Sabovic, Besard"
"Sadik, Berat"
"Sadik, Irfan"
"Sadikaj, Alexandros"
"Sadiki, Kosovar"
"Sadiki, Laurant"
"Sadiku, Armando"
"Sadiku, Drilon"
"Sadiku, Gezim"
"Sadiku, Loret"
"Sadria, Vasili"
"Sahiti, Emir"
"Sakirovski, Zia"
"Salihi, Hamdi"
"Salija, Lulzim"
"Sallaj, Agonit"
"Sallauka, Getoar"
"Seferi, Faton"
"Seferi, Taulant"
"Seferi, Valmir"
"Sehollarj, Eddie"
"Seiti, Xhoi"
"Sejdija, Bujar"
"Selahi, Lindon"
"Selmanaj, Alban"
"Selmanaj, Mario"
"Selmani, Jetmir"
"Selmani, Liridon"
"Senka, Leonard"
"Sfishta, Arben"
"Shaba, Ledjan"
"Shabanhaxhaj, Dardan"
"Shabani, Brendon"
"Shabani, Clirim"
"Shabani, Laorent"
"Shabani, Lirim"
"Shabani, Meritan"
"Shala, Andis"
"Shala, Erjon"
"Shala, Herolind"
"Shala, Naser"
"Shala, Rijat"
"Shani, Ronaldo"
"Shaqiri, Xherdan"
"Sheholli, Kastriot"
"Sheholli, Labinot"
"Shehu, Albi"
"Shehu, Emiljano"
"Shehu, Kristo"
"Shehu, Riad"
"Shehu, Steljo"
"Shenaj, Mikel"
"Shiba, Cristian"
"Shillova, Artan"
"Shoti, Emiliano"
"Silka, Liridon"
"Simani, Denis"
"Sina, Alban"
"Sina, Ilir"
"Sinani, Ismet"
"Sinani, Ivan"
"Skederaj, Adriano"
"Skhodrani, Arber"
"Smajlaj, Nikolas"
"Spaneshi, Rikardo"
"Spiropali, Dori"
"Stafsula, Dritan"
"Stafsulaj, Brikeno"
"Stagova, Granit"
"Stavre, Reno"
"Strakosha, Thomas"
"Sulejmani, Skumbim"
"Sulejmani, Valmir"
"Sulimani, Harun"
"Sulimani, Ilmi"
"Sulimani, Medi"
"Sykaj, Armando"
"Sykaj, Endri"
"Syla, Bajram"
"Syla, Flamor"
"Syla, Roy"
"Tabaku, Xhuljo"
"Tafa, Shaqir"
"Tafarshiku, Muhamet"
"Tafili, Arnold"
"Tafili, Rezart"
"Tahiraj, Francesco"
"Tahiri, Husni"
"Tahiri, Ilir"
"Tahirllari, Artnand"
"Taipi, Gjelbrim"
"Tairi, Enea"
"Tairi, Lindurim"
"Taku, Afrim"
"Tarashaj, Shani"
"Tatani, Ardit"
"Tatos, Andreas"
"Tereziou, Alexandros"
"Terziqi, Xhemil"
"Thanoj, Andi"
"Thaqi, Albin"
"Thaqi, Bujar"
"Thaqi, Rexhep"
"Thomas, Giannis"
"Thorja, Artan"
"Tolaj, Bleart"
"Toli, Ardit"
"Toma, Bastien"
"Toma, Klisman"
"Topalli, Grigor"
"Topi, Mario"
"Torra, Jetmir"
"Trstena, Faton"
"Turkaj, Drilon"
"Tushi, Arben"
"Ujkani, Altin"
"Ujkani, Samir"
"Uka, Leonardo"
"Uzuni, Myrto"
"Vajushi, Armando"
"Vangjeli, Gentian"
"Vangjeli, Pavli"
"Vasos, Kostas"
"Vecaj, Uendi"
"Velija, Bilal"
"Veliqi, Leon"
"Verkaj, Clay"
"Veseli, Frederic"
"Vila, Emiljano"
"Vocaj, Liridon"
"Vogli, Mevlan"
"Vojvoda, Mergim"
"Volina, Mirson"
"Vorfi, Emmanel"
"Vrenezi, Albion"
"Vrioni, Giacomo"
"Vrousai, Marios"
"Vukaj, Klodian"
"Xhafa, Gjergj"
"Xhaka, Granit"
"Xhaka, Taulant"
"Xhani, Miftar"
"Xhepa, Vasilis"
"Zadiku, Dardan"
"Zaimaj, Alexandros"
"Zecirovci, Fejaz"
"Zefi, Aurel"
"Zefi, Bajram"
"Zejnullahu, Eroll"
"Zeka, Agim"
"Zekaj, Bleron"
"Zeneli, Arber"
"Zeneli, Fatjon"
"Zeneli, Zaim"
"Zenuni, Federico"
"Zenuni, Kostas"
"Zeqiraj, Burim"
"Zeqiri, Andi"
"Zeqiri, Xhevdet"
"Zeqo, Altin"
"Zeqo, Melvin"
"Zezaj, Ireneo"
"Zguri, Rodion"
"Zguro, Vangjel"
"Ziko, Renato"
