"Name"
"Abdel Hakim, Mahmoud"
"Abdel Hamid, Amir"
"Abdel Raouf, Ahmed"
"Abdel Shafy, Mohamed"
"Abou Mosalem, Ahmed"
"Ahmed Hamoudi"
"Ahmed Yasser"
"Ahmed, Sayed"
"Alaa Eldin, Mohammed"
"Aly Ghazal"
"Ashour, Hossam"
"Ashraf, Sherif"
"Atwa, Mohamed"
"Basha, Richard"
"Bassiouny, Mohamed"
"Eid Abdel Malek, Ahmed"
"Ekramy, Sherif"
"El Belkasi, Ateya"
"El Egazey, Hany"
"El Gamal, Adam"
"El Hadad, Momen"
"El Hadary, Essam"
"El Razek, Scherif"
"El Saeed, Abdallah"
"El Sayed, Adel"
"El Sayed, Mohamed"
"El Shaarawy, Stephan"
"El Shahat, Hussein"
"El Sheikh, Ahmed"
"El Shennawy, Ahmed"
"El Solayya, Amr"
"El Weeshi, Reda"
"El-Abd, Adam"
"Elhussieny, Omar"
"Elmohamady, Ahmed"
"Elneny, Mohamed"
"Essam, Mohamed"
"Fahmy, James"
"Fathy, Ahmed"
"Fathy, Mostafa"
"Fekir, Ahmed"
"Felfel, Yones"
"Gaafar, Ahmed"
"Gaber, Omar"
"Gabr, Ali"
"Gamal, Amr"
"Ghaly, Hossam"
"Ghandour, Rhami"
"Gomaa, Saleh"
"Hadhoud, Karam"
"Hafez, Karim"
"Hamdy, Hussein"
"Hamed, Tarek"
"Hamid, Yasin"
"Hassan"
"Hassan Mekky, Ahmed"
"Hassan, Aly"
"Hefny, Ayman"
"Hegazi, Ahmed"
"Ibrahim, Mohamed"
"Izem, Rochdi"
"Jakobsen, Alexander"
"Kahraba"
"Kandel, Walid"
"Karim Nedved"
"Khattab, Sabri"
"Magdy, Mohamed"
"Mahdy, Yousef"
"Mahmoud Samna"
"Mahrous, Amir"
"Mansour, Adam"
"Mansour, Ahmed Ayman"
"Mohamed, Taher"
"Moharram, Youssef"
"Mohsen, Marwan"
"Mohsen, Salah"
"Mokhtar, Ahmed"
"Mokhtar, Amr"
"Morsy, Sam"
"Mostafa, Ahmed"
"Nader, Aly"
"Obama"
"Omayer, Karim"
"Rabia, Ramy"
"Raofat, Dia"
"Ref'at, Ahmed"
"Rizk, Mohamed"
"Salah, Ibrahim"
"Salah, Mohamed"
"Salam, Ahmed"
"Salama, Ahmed"
"Saleh, Ramzi"
"Sallam, Karim"
"Samara, Mohamed"
"Samir, Saad"
"Sha'aban, Shadi"
"Shawky, Mohamed"
"Shikabala"
"Sobhi, Ramadan"
"Sobhy, Mohamed"
"Soliman, Walid"
"Suleiman, Magid"
"Tarek Arafa"
"Tarek, Amro"
"Tawfik, Ahmed"
"Thali, Omar"
"Trezeguet"
"Warda, Amr"
"Yaisien, Abdallah"
"Youssef, Omar"
"Zaky, Islam"
"Zizo"
