"Name"
"Abass, Issah"
"Abaya, David"
"Abbey, Darren"
"Abbey, Jed"
"Abbey, Thomas"
"Abdallah, Iddrisu"
"Abdulai, Sabit"
"Abdullai, Zakaria"
"Ablade, Terry"
"Aboagye, Clifford"
"Aborah, Stanley"
"Abu, Mohammed"
"Abubakar, Abdul Kayyoum"
"Abubakar, Adam"
"Abubakar, Asumah"
"Abubakar, Lalas"
"Abubakar, Mumuni"
"Abubakari, Abdul Latif"
"Abubakari, Mohammed"
"Abubakar-MumunI, James"
"Accam, David"
"Acheampong, Benjamin"
"Acheampong, Frank"
"Acheampong, Frederick"
"Acheampong, Geoffrey"
"Ackah, Yaw"
"Ackon, Ebenezer"
"Ackun, Melvin"
"Ackwei, Wahab"
"Acolatse, Elton"
"Acosty, Maxwell"
"Acquah, Afriyie"
"Acquah, Godfred"
"Acquah, Reuben"
"Acquaye, John"
"Adaakwah, Donald"
"Adam, David"
"Adam, Najib"
"Adams, Kasim"
"Adarkwa, Sean"
"Addae, Bright"
"Addai, Alex"
"Addai, Corey"
"Addai, Emmanuel"
"Addico, Martin"
"Addo, Daniel"
"Addo, Edmund"
"Addo, Paul"
"Addy, David"
"Addy, Lee"
"Addy, TQ"
"Adiyiah, Dominic"
"Adjapong, Claud"
"Adjeh Sowah, Emmanuel"
"Adjei, Alfred"
"Adjei, Christian"
"Adjei, Daniel"
"Adjei, Felix"
"Adjei, Joseph"
"Adjei, Kwame"
"Adjei, Samuel"
"Adjei, Simon"
"Adjetey, Emmanuel"
"Adolf"
"Adomah, Albert"
"Adomah, Francis"
"Adomako, Evans"
"Adomako, Joshua"
"Adu Kwame, Frank"
"Adu, Enoch"
"Adu, Eric"
"Adu, Frank"
"Adu, Freddy"
"Adu, Oswald"
"Adukor, Ignatius"
"Adukor, Joachim"
"Adukor, Lexy"
"Adukor, Mohammed"
"Adu-Peprah, Gideon"
"Adusa, Diwomo"
"Afful, Harrison"
"Afoakwa, Dickson"
"Afriyie, Francis"
"Afum, Samuel"
"Agbenyenu, Lumor"
"Agouda, Abdul-Basit"
"Agyaakwah, Ivan"
"Agyei, Daniel"
"Agyei, Daniel"
"Agyeman, Alfredo"
"Agyeman-Badu, Benjamin"
"Agyemang, Edward"
"Agyemang, Fredrick"
"Agyemang, Godfred"
"Agyemang, Montel"
"Agyepong, Thomas"
"Agyiri, Ernest"
"Agyiri, Thomas"
"Agyriba, Joseph"
"Aidoo, Joseph"
"Aidoo, Lawrence"
"Aidoo, Nana"
"Akaminko, Jerry"
"Akaminko, Prince"
"Akoadi, Joseph"
"Akosah-Bempah, Nana"
"Akotei, Emmanuel"
"Akoto, Michael"
"Akrong, Jacob"
"Akwensivie, Rodney"
"Akyere, Isaac"
"Alberti, Briant"
"Alhassan, Abdul Rahim"
"Al-Hassan, Khalif"
"Alhassan, Masahudu"
"Alhassane, Baba"
"Amamoo, Nathaniel"
"Amando, Mohammed"
"Amankona, Amass"
"Amankona, Stephen"
"Amankwaa, Danny"
"Amankwaah, Kevin"
"Amankwah, Yaw"
"Amankwah, Yeboah"
"Amartey, Daniel"
"Ambrosius, Michael Kwabena"
"Ambrosius, Stephan"
"Ameyaw, Michael"
"Amoah, Joseph"
"Amoah, Joseph"
"Amoah, Patrick"
"Amoah, Winfred"
"Amoako, Kwadwo"
"Amoako, Nicholas"
"Amofa, Brian"
"Amofa, Jamal"
"Amoo, Richard"
"Ampem, Prince"
"Ampomah, Opuku"
"Ampong, John"
"Amponsah, Bernard"
"Amponsah, Nicholas"
"Amponsah, Prince"
"Amuzu, Francis"
"Anaba"
"Anaba, Michael"
"Anang, Benson"
"Anang, Joseph"
"Anas Mubarak"
"Anas, Mohamed"
"Andoh, Brite"
"Andoh, Enoch"
"Aninkora, Kenneth"
"Aniteye, Clifford"
"Ankomah, Charles"
"Annan, Anthony"
"Annan, Felix"
"Annan, Fred"
"Annor, David"
"Annor, Yaw"
"Anokye-Boadi, Kofi"
"Ansah, Eugene"
"Antwi, Caleb"
"Antwi, Cameron"
"Antwi, Clinton"
"Antwi, Dennis"
"Antwi, Emmanuel"
"Antwi, Godwin"
"Antwi, Kofi"
"Antwi, Opoku"
"Antwi, Rodney"
"Antwi-Adjej, Christopher"
"Apau, Mitch"
"Apollon, Ashkanov"
"Appiah, Arvin"
"Appiah, Bismark"
"Appiah, Christopher"
"Appiah, Dennis"
"Appiah, Emmanuel"
"Appiah, Kwadwo"
"Appiah, Kwesi"
"Appiah, Marcel"
"Appiah, Michael"
"Appiah, Ofosu"
"Appiah, Samuel"
"Appiah, Samuel"
"Appiah, Stephen"
"Appiah-Cubi, Kwabena"
"Appiah-Forson, Keenan"
"Arcilesi, Daniele"
"Arhin, Frank"
"Arthur, James"
"Arthur, Koby"
"Arthur, Mohammed"
"Arthur, Stephen"
"Asamoah, Derek"
"Asamoah, Faisal"
"Asamoah, Kennedy"
"Asamoah, Kwadwo"
"Asamoah, Nathaniel"
"Asamoah, Paul"
"Asamoah, Samuel"
"Asante, Akwasi"
"Asante, Alhassan"
"Asante, Enock"
"Asante, Ernest"
"Asante, Isaac"
"Asante, Joseph"
"Asante, Richard"
"Asante, Samuel"
"Asante, Solomon"
"Asare, Dennis"
"Asare, Jones"
"Asare, Nana"
"Asare, Zico"
"Ashimeru, Majeed"
"Ashong, Nii Nortey"
"Asiedu, Anderson"
"Asigba, Mark"
"Asmah, Patrick"
"Asoro, Joel"
"Assifuah, Ebenezer"
"Atanga, David"
"Atem, Valentine"
"Ati, Lawrence"
"Atsu, Christian"
"Atta, Kofi"
"Attakora, Nana"
"Attamah, Faisal"
"Attamah, Joseph"
"Atuahene, Francis"
"Ausanio, Yitai"
"Awako, Gladson"
"Awal, Mohammad"
"Awuku, Noah"
"Ayarna, Reuben"
"Ayew, Andre"
"Ayew, Jordan"
"Ayew, Paul"
"Ayi, Ibrahim"
"Ayiah, Eric"
"Ayongo, Arthur"
"Ayongo, Paul"
"Aziz"
"Aziz, David"
"Baah, Abubakar"
"Baah, Gideon"
"Baba, Idrissu"
"Babawo, Saliw"
"Baclet, Allan"
"Badu, Emmanuel"
"Badu, Malcolm"
"Baffo, Joseph"
"Baidoo, Ishmael"
"Baidoo, Michael"
"Bakah, Victor"
"Baldes, Petrus"
"Balotelli, Mario"
"Banahene, Nasiru"
"Bancey, Seidu"
"Bangura, Clinton"
"Barnour, Eghir"
"Basit Umar"
"Basit, Abdallah"
"Bekoe, Charles"
"Bekoe, Godfred"
"Bekoe, John"
"Bekui, Lawson"
"Bempah, Owusu"
"Benson, Fred"
"Bergstrom, Emmanuel"
"Berkeley-Agyepong, Jacob"
"Berko, Erich"
"Berkoe, Kevin"
"Bernardinho, Osah"
"Besea, Emmanuel"
"Biney Jr, Koomson"
"Blessing, Latif"
"Boadu, Denzeil"
"Boadu, Kofi"
"Boadu, Myron"
"Boahene, Kobbie"
"Boakye, Aaron"
"Boakye, Emmanuel"
"Boakye, Eric"
"Boakye, Gabriel"
"Boakye, Isaac"
"Boakye, Kofi"
"Boakye, Richmond"
"Boakye, Thomas"
"Boateng, Bernard"
"Boateng, Charles"
"Boateng, Christoffer"
"Boateng, Daniel"
"Boateng, Daniel"
"Boateng, Daniel"
"Boateng, David"
"Boateng, Dennis"
"Boateng, Emanuel"
"Boateng, Emmanuel"
"Boateng, Emmanuel"
"Boateng, Emmanuel"
"Boateng, Hiram"
"Boateng, Jerome"
"Boateng, Kennedy"
"Boateng, Kevin-Prince"
"Boateng, Kingsley"
"Boateng, Kingsley"
"Boateng, Lukas"
"Boateng, Malachi"
"Boateng, Nana"
"Boateng, Richard"
"Boateng, Richard"
"Boateng, Yaw"
"Bonsu-Maro, Maro"
"Bortey, Bernard"
"Bossman, Emmanuel"
"Boye, John"
"Braun, Christopher"
"Breustedt, Otis"
"Brimah, Razak"
"Brobbey, Brian"
"Brobbey, Samuel"
"Bruce, Albert"
"Bruce, Pancras"
"Buaben, Prince"
"Buduson, Johnny Per"
"Bukari, Osman"
"Bukari, Sadat"
"Cann, Francis"
"Chibsah, Raman"
"Christian Annan"
"Clottey, Emmanuel"
"Coffie, Marcus"
"Cofie, Isaac"
"Cofie, John"
"Coke, Giles"
"Coleman, Daniel"
"Coleman, Kevin"
"Conteh, Sirlord"
"Cooper, Godberg"
"Cromwell, Razak"
"Cudjoe, Emmanuel"
"Cudjoe, Kelvin"
"Dabanka, Fred"
"Dadzie, Francis"
"Dan Kowa, Koffi"
"Danladi, Abu"
"Danning, Kofi"
"Danquah, Samuel"
"Danso, Kevin"
"Danso, Stephen"
"Danso, Yaw"
"Darkeh, Raymond"
"Darkwa, Dereck"
"Darkwa, Godwin"
"Darpoh, Samuel"
"Dauda, Cosmos"
"Dauda, Fatau"
"Dauda, Ibrahim"
"Davorzie, Carl"
"Dela Sampson, Essel"
"Depay, Memphis"
"Diallo, Bernard"
"Diallo, David"
"Diallo, Joseph"
"Diallo, Joseph"
"Diallo, Mohammed"
"Diallo, William"
"Diallo, Yaw"
"Diawusie, Agyemang"
"Dickson, Chris"
"Djiku, Alexander"
"Dodoo, Joe"
"Dogbe, Emmanuel"
"Doku, Cephas"
"Doku, Jeremy"
"Domfeh, Michael"
"Donkor, Anton"
"Donkor, Isaac"
"Donkor, Richard"
"Donkor, Solomon"
"Donsah, Godfred"
"Donyoh, Godsway"
"Dorzia, Paulinus"
"Duah, Kwadwo"
"Duah, Rashid"
"Duah, Solomon"
"Duah-Adusei, Ridge"
"Dudziak, Jeremy"
"Duin, Kevin"
"Duncan, Alfred"
"Dwamena, Raphael"
"Dzisah, Charles"
"Eden, Davidson"
"Edwards, Opi"
"Edwini-Bonsu, Randy"
"Eklu, Shaka Mawuli"
"Ekuban, Caleb"
"Ekuban, Joseph"
"Ekumah, Aaron"
"Enyan, Elimelech"
"Eshun, Kingsley"
"Essel, John Kofi"
"Essien, Michael"
"Fadi, Benjamin"
"Fameyeh, Joel"
"Fatau, Mohammed"
"Felicia, Lovette"
"Festus Baise"
"Fobi, Kingsley"
"Folivi, Michael"
"Fornah, Joseph"
"Fornah, Tyrese"
"Fosu, Daniel"
"Fosu, Tarique"
"Fosu-Mensah, Alfons"
"Fosu-Mensah, Timothy"
"Frimpong, Abraham"
"Frimpong, Benjamin"
"Frimpong, Christian"
"Frimpong, Evans"
"Frimpong, Gabriel"
"Frimpong, Godfried"
"Frimpong, Jeremie"
"Frimpong, Raphael"
"Frimpong, Yaw"
"Fuseini, Amos"
"Gabriel, Glenn"
"Gadze, Richard"
"Ganiyu, Avis"
"Georges Koussy"
"Godfred"
"Gomina, Caleb"
"Grant, Sirdic"
"Gyabuaa, Emmanuel"
"Gyamerah, Jan"
"Gyamfi, Bright"
"Gyamfi, Dennis"
"Gyamfi, Johnson"
"Gyan, Asamoah"
"Gyan, Francis"
"Gyasi, Edwin"
"Gyasi, Emmanuel"
"Gyau, Joseph-Claude"
"Gyebi, Jeremiah"
"Gyimah, Edwin"
"Gyimah, Richard"
"Gyimah, Yaw"
"Hackman, Emmanuel"
"Haigh, Nicky"
"Hammond, Abel"
"Hammond, John"
"Hayford, Adjey"
"Heber, Daniel"
"Helegbe, Michael"
"Henrichs, Benjamin"
"Hickson, David"
"Hien, Isak"
"Hudson-Odoi, Bradley"
"Hudson-Odoi, Callum"
"Hudu, Abdul-Halik"
"Hyde, Julian"
"Ibrahim, Abdul"
"Ibrahim, Robert"
"Ibrahim, Sadiq"
"Idris, Aziz"
"Ikpeazu, Uche"
"Inkoom, Samuel"
"Inusah, Abass"
"Isaac Hemans"
"Issah, Kamal"
"Issaka, Ibrahim"
"Jackson, Baafi"
"Jones, Derrick"
"Joseph, Dennis"
"Joseph, Joseph"
"Jung, Gideon"
"Kafari, Michael"
"Kappelhof, Johan"
"Karikari, Jeremy"
"Karim, Abubakar"
"Karim, Sadat"
"Kasim, Prosper"
"Kasola, Mohammed"
"Keke, Emmanuel"
"Kelbel, George"
"Kizito, Kwame"
"Koffie, Francis"
"Koffie, Gershon"
"Kofi Adu, Enoch"
"Kohn, Derrick"
"Komey, Justice Tetteh"
"Konda, Isshaku"
"Koomson, Gilbert"
"Kpozo, Patrick"
"Kudus, Mohammed"
"Kuffour, Alex"
"Kuffour, Lloyd-Addo"
