"Name"
"Abu Bakir, Bayar"
"Adnan Atiyah"
"Ahmad, Mohammad"
"Ahmed Abbas"
"Ahmed Abid Ali"
"Ahmed Ali"
"Ahmed Ayad"
"Ahmed Ibrahim"
"Ahmed, Hussein"
"Al Ali, Ali"
"Al Ali, Hasan"
"Al Jaberi, Selwan"
"Ala'a Abdul Zahra"
"Ala'a Ali"
"Al-Allak, Galeb Gazl"
"Al-Ani, Kais"
"Al-Badri, Ahmed"
"Al-Faywz, Bahaa"
"Algazaly, Fahad"
"Algazaly, Muntadhar"
"Al-Habobi, Ali"
"Al-Hamadani, Ameer Sabah"
"Ali Abbas"
"Ali Adnan"
"Ali Bahjat"
"Ali Faez"
"Ali Husni"
"Ali Hussein Rehema"
"Ali Lateef"
"Ali Qasem"
"Ali Salah"
"Ali, Kevin"
"Alkanany, Mortadha Jassim"
"Al-Kassab, Ali"
"Al-Khalisy, Yousif"
"Al-Khazaali, Hussein"
"Allee, Ahmad"
"Allee, Zana"
"Al-Mamoori, Samal Saeed"
"Al-Manaa, Faisal Jassim"
"Almosawe, Ali"
"Al-Muntafik, Amjad Kalaf"
"Alsanati, Andre"
"Alsultan, Hakim"
"Altamimi, Haydar"
"Al-Timini, Wahap"
"Amin, Rewan"
"Amjad Radhi"
"Amjad Waleed"
"Amjed Attwan"
"Ammar Abdul Hussein"
"Artien, Masies"
"Asaad, Alan"
"Asaad, Rebin"
"Ayman Hussein"
"Aziz, Saif"
"Basem Ali"
"Bashar Rasan"
"Basim Abbas"
"Bethio, Dawood"
"Cabrera, Gonzalo"
"Celik, Robin"
"Cinho, Awat"
"Dhurgham Ismail"
"Dowisha, Rani"
"Eisa, Firas"
"El Zubaidi, Aldin"
"Eliassi, Peiman"
"Emad, Bashar"
"Fareed Majeed"
"Farhan Shukor"
"Ferreira, Brian"
"Gerkondani, Garib"
"Goljahanpoor, Arjan"
"Haidar Abdul Amir"
"Haidar Aboudi"
"Haidar Sabah"
"Haidar, Govend"
"Haidar, Lawand"
"Haider, David"
"Haitham Kadhim"
"Halgurd Mulla"
"Hama Said, Mille"
"Hamad, Jiloan"
"Hassan, Ahmed"
"Hassan, Mustafa"
"Humam Tariq"
"Hussein Abdul Wahib"
"Hussein Ali"
"Hussein Falah"
"Hussein, Milan"
"Jabbar, Ali"
"Jalal Hassan"
"Jalal, Ahmed"
"Jalal, Shwan"
"Jamal, Hussain"
"Jansson, Thomas"
"Jasim, Ali"
"Jawad Kadhim"
"Juma'a, Ahmed"
"Kadhim, Omar"
"Kadhim, Seif"
"Kamel, Sami"
"Kareem, Hussein"
"Kareem, Muhammed Ali"
"Karme, Ahmed"
"Karrar Jassim"
"Karrar Mohammed"
"Kasim, Yaser"
"Khait, Mohammed"
"Khaldoun Ibrahim"
"Lawan, Rawez"
"Lyberg, Jon"
"Maan, Ayad"
"Maan, Mo"
"Mahdi Kamel"
"Mahdi Karim"
"Martensson, Niklas"
"Marwan Hussein"
"Meram, Justin"
"Miran Khasro"
"Mohammed Gassid"
"Mohammed Hameed"
"Mohammed Jabbar"
"Mohammed, Amer"
"Mohammed, Daniar"
"Mohammed, Karrar"
"Mohammed, Mohammed"
"Mohammed, Osama Ali"
"Mohannad Abdul Raheem"
"Mohideen, Allan"
"Mohsen, Monti"
"Mostafa, Arjan"
"Moustafa, Hawbir"
"Muayad Khalid"
"Mustafa Karim"
"Mustafa Nadhim"
"Muthana Khalid"
"Nabeel Sabah"
"Nano, Marvin"
"Naseer, Ameer"
"Nassar, Bakir Anwar"
"Noor Sabri"
"Nouri, Brwa"
"Oghanna, Christopher"
"Ous Ibrahim"
"Putros, Frans"
"Qusai Munir"
"Rashid, Osama"
"Razuki, Louis"
"Razuki, Ziggy"
"Saad Abdul Amir"
"Saad Attiya"
"Saad Natiq"
"Saad, Hussein Ali"
"Sahlih, Jaudet"
"Saif Salman"
"Salam Shakir"
"Salih Jaber"
"Salih Sadir"
"Sallal, Arkan"
"Samer Saeed"
"Samra, Younan"
"Sarhang Muhsin"
"Sarhang Rauf, Latif"
"Sevok, Arian Ibrahim"
"Shabow, Mario"
"Shaker, Iwa"
"Shaker, Khalid"
"Sherko Gubari"
"Shwan, Najm"
"Sindi, Karoj"
"S-Latef, Zeyn"
"Taiseer Abdul-Hussein"
"Uday Talib"
"Vatani, Emil"
"Wahlberg, Nicolas"
"Yasin, Ahmed"
"Younis Mahmoud"
"Yousif, Baggio"
