"Name"
"Barinovs, Vitalijs"
"Carrillo, Romans"
"Ciganiks, Andrejs"
"Cirkin, Dennis"
"Cvetkovs, Glebs"
"Dargis, Oskars"
"Eltermanis, Maris"
"Gutkovskis, Vladislavs"
"Ikaunieks, Davis"
"Jakovlevs, Daniels"
"Jelkins, Kirils"
"Kalinins, Nikita"
"Kalnins, Rendijs"
"Kamess, Vladimirs"
"Korneiciks, Deniss"
"Kovalovs, Andrejs"
"Krjauklis, Ritus"
"Labuts, Igors"
"Legzdins, Adam"
"Logins, Vadims"
"Maksimenko, Vitalijs"
"Matrevics, Rihards"
"Plendiskis, Karlis"
"Reinholds, Reinis"
"Rubenis, Oskars"
"Sabala, Valerijs"
"Samoilovs, Bogdans"
"Saveljevs, Aleksejs"
"Sazonovs, Jevgenijs"
"Smishko, Bogdan"
"Soloha, Rudolfs"
"Soloveiciks, Vladislavs"
"Steinbors, Pavels"
"Tarasovs, Igors"
"Titov, David"
"Uldrikis, Roberts"
"Vanins, Andris"
"Varazinskis, Raivo"
"Veips, Roberts"
"Vitolnieks, Raivis"
"Yedlin, DeAndre"
"Zelenkovs, Dmitrijs"
