"Name"
"A. Jason"
"A. Namathevan"
"A. Pavithran"
"A. Peter Das"
"A. Puvanarajah"
"A. Rameig"
"A. Salamon Raj"
"A. Segar"
"A. Shivan Pillay"
"A. Siva Kumar"
"A. Thamil Arasu"
"A. Venothnaidoo"
"Aaravin, R."
"Aaron Tang"
"Aba'i, Muhd Hafizee"
"Aban, Ridhwan Fikri"
"Abang Nor Azman, Abang Nur Firman"
"Abas, Kamarul Zaman"
"Abas, Mohd Yusri"
"Abas, Muhd Amirul"
"Abdan, Muhd Razif"
"Abdil Qaiyyim"
"Abdul Azih, Muhd Nur Azam"
"Abdul Aziz, Abdul Rashid"
"Abdul Aziz, Ahmad Zulfadhli"
"Abdul Aziz, Azizan Ikhwan"
"Abdul Aziz, Huzaifah"
"Abdul Aziz, Mohd Azroy"
"Abdul Aziz, Mohd Fairuz"
"Abdul Aziz, Mohd Kamil"
"Abdul Aziz, Mohd Nasrullah"
"Abdul Aziz, Mohd Ridhwan"
"Abdul Aziz, Muhd Amirun Syahmi"
"Abdul Aziz, Muhd Ammar"
"Abdul Aziz, Muhd Azrean"
"Abdul Aziz, Muhd Nuraizat"
"Abdul Aziz, Muhd Shamerul"
"Abdul Aziz, Zarul Aidiel"
"Abdul Fattah, Mohd Azwan"
"Abdul Gapor, Muhd Faez"
"Abdul Ghafar, Abdul Wafiy"
"Abdul Ghani, Aiman Arif"
"Abdul Ghani, Ikhsan"
"Abdul Ghani, Mohd Afiq"
"Abdul Ghani, Muhd Azri"
"Abdul Ghani, Nurshamil"
"Abdul Ghani, Razif Hafizi"
"Abdul Hadi"
"Abdul Hadi, Dzulfahmi"
"Abdul Hadi, Muhd Fadzly"
"Abdul Hadi, Muhd Hanif Afandi"
"Abdul Hadi, Muhd Muzaimir"
"Abdul Hadi, Muhd Naim"
"Abdul Hadi, Muhd Syahizzat"
"Abdul Hadi, Roslan"
"Abdul Hakim, Mohd Hazrul Shah"
"Abdul Hakim, Zaiful"
"Abdul Halem, Muhd Hazwanuddin"
"Abdul Halim, Badrulzaman"
"Abdul Halim, Mohd Faisal"
"Abdul Halim, Mohd Faiz"
"Abdul Halim, Mohd Khairullah"
"Abdul Halim, Mohd Syafiq"
"Abdul Halim, Muhd Al-Imran"
"Abdul Halim, Muhd Azam"
"Abdul Halim, Muhd Hafizi"
"Abdul Halim, Nik Mohd Shahrul Azim"
"Abdul Halim, Sulaiman"
"Abdul Halim, Zulhilmi"
"Abdul Hameed, Faritz"
"Abdul Hamid, Abdul Hadi"
"Abdul Hamid, Ahmad Sukri"
"Abdul Hamid, Arif"
"Abdul Hamid, Mohd Hafiz"
"Abdul Hamid, Mohd Izwan"
"Abdul Hamid, Mohd Ramadhan"
"Abdul Hamid, Mohd Taufiq"
"Abdul Hamid, Muhd Farhan"
