"Name"
"Al-Tumi, Rashed"
"Arab, Samir"
"Arab, Siraj"
"Attard, Fabio"
"Baldacchino, James"
"Beerman, Myles"
"Bezzina, Steve"
"Boland, Liam"
"Borg, Andrea"
"Borg, Daniel"
"Borg, Jacob"
"Borg, Oscar"
"Brimmer, Jake"
"Bugeja, Dorian"
"Buttigieg, Liam"
"Camilleri, Dale"
"Camilleri, Gary"
"Camilleri, Julian"
"Cardona, Irvin"
"Cassar, Anthony"
"Cipriott, Sean"
"Cuschieri, Jayke"
"De Bono, Michael"
"Effiong, Alfred"
"Farrugia, Neil"
"Fenech, Paul"
"Frendo, Neil"
"Gambin, Luke"
"Gatt, Patrick"
"Gesualdi, Lucas"
"Giglio, Stefan"
"Grech, Zak"
"Grima, Marcus"
"Grioli, Justin"
"Haber, Justin"
"Hogg, Andrew"
"Ibrahim, Deren"
"Johnson, Michael"
"Lapira, Paul"
"Lia, Vince"
"Mackay, Godwin"
"Maclaren, Jamie"
"Magri, Sam"
"Mallia, Mitchell"
"Micallef, Dylan"
"Micallef, Justin"
"Micallef, Lydon"
"Mifsud, Matthew"
"Mifsud, Michael"
"Mintoff, Sean"
"Muscat, Manny"
"Muscat, Zach"
"Pace, Steven"
"Pisani, Steve"
"Sammut, James"
"Sammut, Ruben"
"Scerri, Nicholas"
"Schembri, Andre"
"Spiteri, Joe"
"Sultana, Steve"
"Tagliaferro, Shane"
"Vella, Nicholas"
"Zahra, Adrian"
"Zammit, Roberto"
"Zerafa, Jamie"
