"Name"
"Abalo, Sunday"
"Abdoull"
"Abdul Musa"
"Abdulla Fatadi"
"Abdullahi, Suleiman"
"Abdullahi, Sunny"
"Abdulrahman, Mohammed"
"Abdultaofik, Ahmed"
"Abedu, Joseph Ikechukwu"
"Abidemi, Lawal-Abdulaziz"
"Abioye, Moses"
"Abogunnin, Olawayanda"
"Abonima"
"Abraham, Tammy"
"Abraham, Timmy"
"Abubakar, Al-Hasan"
"Abubakar, Aliyu"
"Abubakar, Jibril"
"Abubu, Edward"
"Abutu, Simon"
"Abwo, David"
"Adam, Imran"
"Adamolekun, Nathaniel"
"Adams, Akor Jerome"
"Adams, Layonel"
"Adamu, Chikwubuike"
"Adarabioyo, Fisayo"
"Adarabioyo, Tosin"
"Adayilo, Daniel"
"Adebanjo, Jacob"
"Adebayo, Dele"
"Adebayo, Elijah"
"Adebayo, George"
"Adebayo, John"
"Adebayo, Razak"
"Adebayor, Emmanuel"
"Adebayo-Rowling, Tobi"
"Adebayo-Smith, Jordan"
"Adebisi, Rio"
"Adebiyi, Emmanuel"
"Adeboyejo, Victor"
"Adedeji, Jubril"
"Adedoja, Sulaimon"
"Adedoyin, Korede"
"Adeduji, Larry"
"Adegbenro, Samuel"
"Adegboyega, Victor"
"Adegoke, Mutiu"
"Adejo, Daniel"
"Adekanye, Bobby"
"Adekoya, Seyi"
"Adekugbe, Sam"
"Adekuoroye, Bankole Olawale"
"Adelaja, Abraham"
"Adelaja, Somide"
"Adeleye, Adebayo"
"Adeleye, Dele"
"Adeleye, Victor"
"Adeloye, Tomi"
"Ademolu, Stephen"
"Adeniji, Alex"
"Adeniji, Baba"
"Adeniran, Dennis"
"Adeniran, Samuel"
"Adeniyi, James"
"Adeniyi, Peter"
"Adeoye, Miles"
"Adesanya, Jason"
"Adesina, Alex"
"Adetula, Ayodele"
"Adewole, Tobi"
"Adewusi, Sam"
"Adeyemi, Karim"
"Adeyemi, Tom"
"Adeyemo, Jordan"
"Adeyinka, Tashan"
"Adi, Fanendo"
"Adighibe, Ogumka"
"Adineran, Dimeji"
"Afeez, Aremu"
"Afelokhai, Theophilus"
"Afolabi, Chima"
"Afolabi, Julius"
"Afolabi, Sunday"
"Afolayan, Oladapo"
"Agada, William"
"Agba, Uche"
"Agbo, Joshua"
"Agbo, Kelechi"
"Agbo, Uche"
"Agbonifo, Kelvin"
"Agbonlahor, Gabby"
"Agbontohoma, David"
"Agboola, Manny"
"Agboyi, Ovbokha"
"Agbugui, Darrel"
"Aggreh, Prince"
"Aghadiuno, Benjy"
"Agor, Chukwudi"
"Agu, Chinonso"
"Agu, Felix"
"Agu, Mikel"
"Agu, Paul"
"Agunanna, Benson"
"Agwu, Richard"
"Ahmed, Umar"
"Aina, Jordan"
"Aina, Ola"
"Aiwu, Emanuel"
"Aiyegbusi, Korede"
"Aiyenugba, Dele"
"Ajagun, Abdul"
"Ajakpoloho, Chris"
"Ajani, Marvin"
"Ajao, Phillip"
"Ajayi, Adamson"
"Ajayi, Goodness"
"Ajayi, Joshua"
"Ajayi, Samuel"
"Ajayi, Semi"
"Ajeakwa, Akwafei"
"Ajiboye, David"
"Ajose, Nicky"
"Ajuru, Nnaemeka"
"Akammadu, Franklyn"
"Akanji, Manuel"
"Akannoh, Christian"
"Akarandut, Orok"
"Akas, Chima"
"Akilu, Yakubu"
"Akinade, Ismahil"
"Akinbule, Sunday"
"Akinde, Emeka"
"Akinde, John"
"Akindele, Tesho"
"Akinfenwa, Adebayo"
"Akinjogbin, Adebambo"
"Akinola, Ayo"
"Akinola, Emmanuel"
"Akinola, Greg"
"Akinola, Romeo"
"Akinola, Simeon"
"Akinola, Tunji"
"Akintioye, Samuel"
"Akinyemi, Adeleke"
"Akinyemi, Akinbola"
"Akinyemi, Dipo"
"Akinyemi, Shola"
"Akinyode, Bolu"
"Akiode, Ayomide"
"Akiotu, Jason"
"Akoh, Sunday"
"Akolisa, Alejandro"
"Akpabio, George"
"Akpala, Johnson"
"Akpala, Joseph"
"Akpan, Hope"
"Akpeyi, Daniel"
"Akpobire, Kel"
"Akpoguma, Kevin"
"Akpom, Chuba"
"Akpomudia Ogochukwu, Prince"
"Akpoveta, Ojevwe"
"Akpoveta, Oke"
"Akubuike, Uche"
"Akuvuo, Chinedu"
"Akuzie, Emeka"
"Alaba, David"
"Alabi, James"
"Aladesanmi, Kevin"
"Alagbe, Oluwatobiloba"
"Alampasu, Dele"
"Alawode-Williams, Jordan"
"Alebiosu, Ryan"
"Alese, Ajibola"
"Alex"
"Alfa, Ody"
"Alhassan, Ibrahim"
"Ali Baba, Sudais"
"Ali, Ado"
"Ali, Eric"
"Ali, Rabiu"
"Alimi, Sunday"
"Aliyu, Ali"
"Aliyu, Mohammed"
"Alli, Dele"
"Alli, Mayowa"
"Alozie, Michael"
"Aluko, Sone"
"Alumona, Alexandr"
"Amadi, Polycarp"
"Amaechi, Xavier"
"Amaefule, Emanuel"
"Amaluzor, Justin"
"Amayah, Precious"
"Ambalu, Joel"
"Ambrose, Efe"
"Amedu, Samuel"
"Ameobi, Sammy"
"Ameobi, Shola"
"Ameobi, Tomi"
"Ameobi, Victor"
"Amobi, Victor"
"Amokachi, Kalim"
"Amokachi, Nazim"
"Amon, Jonathan"
"Amoo, David"
"Amos, Luke"
"Amutu, Austin"
"Amuzie, Stanley"
"Andrew, Michael"
"Aneke, Chuks"
"Aneke, Jude"
"Anene, Chuma"
"Ani, Innocent"
"Ani, Larry"
"Anichebe, Victor"
"Aniekan, Favour"
"Anifaloyin, Lukmon"
"Anjorin, Faustino"
"Anoruo, Justus"
"Anthony, Izuchukwu"
"Antwi, Sinatra"
"Anya, Ikechi"
"Anyamele, Charles"
"Anyamele, Kelechi"
"Anyamele, Kelechi"
"Anyamele, Nnaemeka"
"Anyichie, Echezona"
"Aogo, Dennis"
"Appeh, Manu"
"Araba, Hakeem"
"Arase, Kelvin"
"Arinze, Alex"
"Ariyibi, Gboly"
"Arokoyo, Gbenga"
"Asagidgbi, Feyiseitan"
"Ashiru, Musefiu"
"Asikhia, Ohio"
"Atiemwen, Iyayi"
"Atu, Godwill"
"Atubolu, Noah"
"Atulewa, Gift"
"Austin, Emmanuel"
"Awaziem, Chidozie"
"Awoniyi, Taiwo"
"Awoyejo, Jamil"
"Awua, Theophilus"
"Awurum, Stanley"
"Ayagwa, Raphael"
"Ayomide, Marcus"
"Ayonuga, Odunayo"
"Ayoola, Shola"
"Azango, Philip Elayo"
"Azeez, Ade"
"Azeez, Ramon"
"Azu, Besto"
"Azubuike, Okechukwu"
"Azuka, Izu"
"Babalola, Stephen"
"Babatunde"
"Babatunde, Joseph"
"Babatunde, Micheal"
"Bakare, Michael"
"Bala, Aliko"
"Bala, Felix"
"Bala, Samuel"
"Bale, Sunday"
"Balogun Kayode, Joshua"
"Balogun, Femi"
"Balogun, Folarin"
"Balogun, Jamal"
"Balogun, Kingsley"
"Balogun, Leon"
"Bamgboye, Funsho"
"Bamidele, Ayodeji"
"Banjo, Olakunle"
"Barkley, Ross"
"Bart Ogbeche"
"Bassey, Akpan"
"Bassey, Anthony"
"Batchelor, Reece"
"Bayode, Tunde"
"Bazunu, Gavin"
"Bello, Babatounde"
"Bello, George"
"Benito"
"Benjamin, Francis"
"Bennetts, Keanan"
"Bentley"
"Bidemi, Daniel"
"Billing, Philip"
"Biobaku, Taofeek"
"Bola, Tolaji"
"Bolanle, Kazeem"
"Bolarinwa, Tom"
"Bonaventure, Dennis"
"Boniface, Matthew"
"Boye, Isaac"
"Braaten, Daniel"
"Brassington, Martin"
"Brian Fok"
"Brown, Stanley"
"Buba, Minisu"
"Chatto, Dominic"
"Chibueze, Simon"
"Chidi, Christian"
"Chidi, Edeh"
"Chidi, Felix"
"Chidi, Philip"
"Chidi, Samuel"
"Chiedozie, Jordan"
"Chigozie, Emmanuel"
"Chilaka, Michael"
"Chima Chukwu, Daniel"
"Chima, Udoka"
"China, Timothy"
"Chinedu, Emmanuel"
"Chizoba, Emmanuel"
"Chrisantus, Macauley"
"Christian, Kelechi"
"Chuchu, Mushready"
"Chukwu, Callistus"
"Chukwudi, Ibrahim"
"Chukwueze, Samuel"
"Chukwuma, Chukwudi"
"Chukwuma, Junior"
"Chukwumah, Daniel"
"Clement, Bobby"
"Coco, Saul"
"Collins, Jamilu"
"Da Silva, Wealth"
"Dada-Luke, Kunla"
"Dangana, David"
"Daniel, Emmanuel"
"Daniel, Godwin"
"Daniel, Joel Okon"
"Danjuma, Arnaut"
"Dauda, Abiola"
"David, Babajide"
"David, Iduitua"
"David, Jonas"
"Davou, Sele"
"Dawa, Victor"
"Dawodu, Josh"
"Debayo, Josh"
"Dele-Bashiru, Fisayo"
"Dele-Bashiru, Tom"
"Delfouneso, Nathan"
"Dessers, Cyril"
"Dike, Bright"
"Diyoke, Gerald"
"Dominic Vinicius"
"Duckrell, Moses"
"Dudu"
"Dudu, Kenny"
"Dunyin, Jonathan"
"Durojaiye, Olumide"
"Durosinmi, Adefolarin"
"Duru, Terence"
"Ebagua, Osarimen"
"Ebenezer, Kellechukwu"
"Ebere, Osinachi"
"Ebiye, Moses"
"Ebosele, Festy"
"Ebuehi, Tyronne"
"Ebuka, Matins"
"Echiejile, Elderson"
"Edafe, Donatus"
"Ede, Chinedu"
"Edhere, Okosi"
"Edmond, Emmanuel"
"Edomwonyi, Bright"
"Edu, Maurice"
"Edun, Tayo"
"Eduok, Emem"
"Effiong, Alfred"
"Effiong, Chinedu"
"Effiong, Kevin"
"Effiong, Peter"
"Egbe, Jeffrey"
"Egbedi, Edafe"
"Egbo, Mandela"
"Egbuchulam, Chisom"
"Egejuru, Godslove"
"Egwuekwe, Azubuike"
"Ehigiator, Kingsley"
"Ehigiator, Nelson"
"Ehiosun, Ekigho"
"Ehizibue, Kingsley"
"Ejaria, Ovie"
"Ejide, Austin"
"Ejiogu, Chijoke"
"Ejiogu, Ifeanyi"
"Ejiogu, Mubarak"
"Ejiogu, Nnamdi"
"Ejuke, Chidera"
"Ekanem, Victor"
"Ekedo, Daniel"
"Ekeh, John Ebere"
"Ekene, Chinedu"
"Ekong, Emmanuel"
"Ekpai, Ubong"
"Ekpe, Thompson"
"Ekpiteta, Marvel"
"Ekpiteta, Marvin"
"Ekpolo, Godswill"
"Ekwegwo, Caleb"
"Ekwueme, Lucky"
"Ekwueme, Martins"
"Ekwueme, Solomon"
"Elechi, Chimaobi"
"Elechi, Michael"
"Eleke, Blessing"
"Elewa-Ikpakwu, Ed"
"Elvis, Kingsley"
"Emeghara, Innocent"
"Emeh"
"Emeka, Anthony"
"Emeka, Vincent"
"Emenike, Emmanuel"
"Emerun, Emeka"
"Emigo, Ekene"
"Emmanuel, Josh"
"Emmanuel, Sodiq"
"Emmanuel, Sunday"
"Enahoro, Tunde"
"Eneji, Otekpa"
"Enobakhare, Bright"
"Enogela, David"
"Enyeama, Vincent"
"Eppiah, Josh"
"Erhabor, Yahav"
"Erhahon, Ethan"
"Eric Ezeala Chimezie"
"Erimuya, Saturday"
"Eseola, Aderinsola"
"Esieme, Bright"
"Esien, Cameron"
"Esiti, Anderson"
"Essien, Orok Orok"
"Etafia, Kevin"
"Etebo, Oghenekaro"
"Etim, Monday"
"Etuhu, Kelvin"
"Ewelike, Domas"
"Eyoma, Aaron"
"Eyoma, TJ"
"Eze, David"
"Eze, Eberechi"
"Eze, Emeka Friday"
"Eze, Kene"
"Eze, Michael"
"Eze, Stephen"
"Ezeh, Charles"
"Ezeh, Chidera"
"Ezeh, Femi"
"Ezeh, Henry"
"Ezeji, Victor"
"Ezekiel, Blessed"
"Ezekiel, Imoh"
"Ezekwem, Cottrell"
"Ezumezu, Hillary"
"Fabiyi, Emmanuel"
"Faith Friday Obilor"
"Fanimo, Matthias"
"Fatai, Kehinde"
"Fatai, Sodiq"
"Fatai, Taiye"
"Felagha, John"
"Festus Baise"
"Festus, Austin"
"Festus, Chijoke"
"Festus, John"
"Festus, John"
"Festus, Stanley"
"Folorunsho, Michael"
"Francis Obidikwa"
"Frank Okenwa"
"Franklin Joseph"
"Friday Eze, Patrick"
"Friday, Fred"
"Friday, Iyam"
"Frison, Owen"
"Fundi, Victor"
"Gabriel, Reuben"
"Gala, Gabe"
"Gambo, Mohammed"
"Garba, Joseph"
"Gbadamosi, Ibrahim"
"Gbadebo, Abubakar"
"George, Odeni"
"George, Tega"
"Gero, Ahmad"
"Gero, Alhaji"
"Godwin Ime"
"Godwin, Felix"
"Godwin, Samuel"
"Godwin, Saviour"
"Gozzi, Paolo"
"Gyasi, Jeff"
"Hamzat, Ollie"
"Harry, Stephen"
"Haruna, Lukman"
"Hassan, Adeola"
"Hassan, Henry"
"Hassan, Rilwan"
"Heil, Ogechika"
"Henty, Ezekiel"
"Hilary Gong"
"Howells, Bassey"
"Ibe, Jordon"
"Ibeagha, Christian"
"Ibeagha, Sebastien"
"Ibeh, Bruno"
"Ibeh, John"
"Ibeh, Kelechi"
"Ibeh, Nathan"
"Ibehre, Jabo"
"Ibenegbu, Ike"
"Ibini, Bernie"
"Ibiyomi, Michael"
"Ibok, Emmanuel"
"Ibrahim, Abbas"
"Ibrahim, Abubakar"
"Ibrahim, Francis"
"Ibrahim, Shuaibu"
"Ichull, Lordson"
"Idah, Adam"
"Idehen, Jeffrey"
"Idem, Manny"
"Idemokon, Uduak"
"Ideye, Brown"
"Idowu, Brian"
"Idowu, Daniel"
"Idowu, Roland"
"Ifeanyi Eze, Stanley"
"Igbekeme, James"
"Igbekoyi, Victor"
"Igbineweka, Golden"
"Igbinigie, Godbless"
"Igboananike, Kennedy"
"Igbonefo, Victor"
"Igboun, Sylvester"
"Ighalo, Odion"
"Igiebor, Nosa"
"Igo, Chigozie"
"Igwe, Patrick"
"Iheanacho, Kelechi"
"Ihedioha, Godson"
"Ihionu, Bright"
"Ihugba, Stanley"
"Ijezie, Michael"
"Ijiwole, Andrew"
"Ike, Thankgod"
"Ike, Uchenna"
"Ikebuasi, Ezra"
"Ikedi, Anthony"
"Ikenna, Austin"
"Ikenne-King, Patrick"
"Ikeobi, Sandro"
"Ikhogo, Dennis"
"Ikpeazu, Uche"
"Ikpefua, Osas"
"Ikudehinbu, Segun"
"Ikuepamitan, Ayotunde"
"Ikwu, Ejike"
"Ilesanmi, Femi"
"Ilori, Tiago"
"Imafidon, Oluwole"
"Imenger, Aminu"
"Inah, Ofem"
"Innocent, Bonke"
"Iorfa, Dominic"
"Ipalibo, Jack"
"Irobiso, Christian"
"Isa, Sheriff"
"Isaac, Promise"
"Isaiah, Ahmed"
"Isichei, Michael"
"Issa, Usman Adekunle"
"Itimi Dickson"
"Itodo, Ibrahim"
"Iwobi, Alex"
"Iwunze, Yannick"
"Iyamu, Nosa"
"Iyede, Samson"
"Iyinbor, Patrick"
"Iyobosa Edokpolor, Nosa"
"Iyoha, Emmanuel"
"Izuchukwu Onyeachonam, Joshua"
"Jabason, Solomon"
"Jaiyesimi, Diallang"
"James, Leke"
"Jaycee John"
"Jeleel, Hammed"
"Jibodu, Ayomide"
"Jibril, Taofiq"
"Jibrin, Alexander"
"Jibrin, Ifeanyi"
"Jidayi, William"
"Jimoh, Victor"
"Jinadu, Daniel"
"John, Adeshina"
"John, Moses"
"John, Roland Emeka"
"John, Uchenna"
"John, Will"
"Johnson"
"Johnson, Leonard"
"Johnson, Victor"
"Jonathan, Kingsley"
"Joseph, Ebuka"
"Josiah Chinyere Chukwudi"
"Junior"
"Junior, John"
"Kabiru, Muhammed"
"Kabiru, Musa"
"Kachi"
"Kadiri, Sunday"
"Kaita, Sani"
"Kakay, Osman"
"Kalu, David"
"Kalu, Godwin"
"Kalu, Ifeanyi"
"Kalu, Uche"
"Kandi, Chike"
"Kanu, Stanley"
"Kanwei, Lumi"
"Kapuadi, Steve"
"Kareem, Kazeem"
"Kareem, Omolaja Nurain"
"Kareem, Peter"
"Karku, Junior"
"Kasumu, David"
"Kayode, Dapo"
"Kayode, Joshua"
"Kayode, Larry"
"Kean, Charles Ikenna"
"Kebbie, Elliot"
"Kehinde, Chris"
"Kehinde, Lanre"
"Kehinde, Mathias"
"Kehinde, Mohammed"
"Kehinde, Roland"
"Kehinde, Tosin"
"Keita, Boubacar"
"Kelechukwu, Michael Lucky"
"Ken"
"Kenny"
"Kigbu, Ash"
"Kingsley"
"Kingsley, Eze"
"Koiki, Ali"
"Kolawole, Olayinka"
"Konwea, Kyle"
"Konyeha, Godwin"
"Korfamata, Bello"
"Kpohomouh, Pascal"
"Kughegbe, Onoriode"
"Kuku"
"Kuku, Benjamin"
"Kwambe, Solomon"
"Ladapo, Freddie"
"Lamidi, Moses"
"Latifu, Akeem"
"Lawal, Ayinde"
"Lawal, Orji"
"Lawal, Qudus"
"Lawal, Raheem"
"Lawal, Sunday"
"Lawal, Victor"
"Lawal, Yusuf"
"Lawrence"
"Lawrence, Bukola"
"Lawrence, Hassan"
"Lawrence, Sunday"
"Layeni, Stefano"
"Lazarus, Celestine"
"Lookman, Ademola"
"Lukman"
"Madu, Christian"
"Madu, Emeka"
"Madu, Kingsley"
"Madu, Samson"
"Madu, Tosin"
"Madueke, Chinedu"
"Madueke, Noni"
"Magashy, Abdulssalam"
"Makanjuola, Habib"
"Makinde, Moses"
"Martins, Obafemi"
"Martins, Ranti"
"Marvin"
"Marvis, Cedric"
"Mary, John"
"Mathew, Ifeanyi"
"Mba, Sunday"
"Mbachu, Emenike"
"Mbah, Chigozie Emmanuel"
"Mbah, Chimezie"
"Mbakogu, Jerry"
"Mbonu, Bruno"
"Mebude, Dapo"
"Mengi, Teden"
"Mensha, Godwin"
"Michael, Henry"
"Michael, Kingsley"
"Michael, Peter Godly"
"Mikel, John Obi"
"Mohammed, Emmanuel"
"Mohammed, Fidelis"
"Mohammed, Joseph"
"Momodu, Terence"
"Monday, Ovye"
"Moses, Eneji"
"Moses, James"
"Moses, Victor"
"Muhammad, Ibrahim"
"Muhammed, Musa"
"Muhammed, Yusuf"
"Muritala, Adeniran"
"Musa"
"Musa, Ahmed"
"Musa, Emanuel"
"Musa, Peter"
"Musa, Saidu"
"Musa, Sunday"
"Musa, Yusuf"
"Mustapha, Abdullahi"
"Mustapha, Kingsley"
"Mustapha, Saheed"
"Mustapha, Toyeeb"
"N.D.Opara"
"Nafiu, Raheem"
"Namo, Victor"
"Nazim, David"
"Ndidi, Wilfred"
"Ndigwe, Emmanuel"
"Ndubuisi, Chinedu"
"Ndukwu, Layton"
"Ndukwu, Peter"
"Nelson, Simon"
"Ngwu, Samuel"
"Niagioran, Nick"
"Njoku, Caleb"
"Njoku, Ejike"
"Njoku, Jacob"
"Njoku, Kingsley"
"Njoku, Philip"
"Nkama, Chinwendu"
"Nmecha, Felix"
"Nmecha, Lukas"
"Nnah, Francis"
"Nnaji, Emanuel"
"Nnake, Prince"
"Nnamani, Abdul"
"Nnamani, Augustine"
"Nnamani, Barnabas"
"Nnamani, Christian"
"Nnamani, Emeka"
"Nnamani, Eric"
"Nnamani, Samuel"
"Nnamemeka, Mbadinuju Micheal"
"Nnanna, Ogba Kalu"
"Nnodim, Paul"
"Nti, Daniel"
"Nura, Abdullahi"
"Nwachukwu, Mark"
"Nwachukwu, Saheed"
"Nwafor, John"
"Nwakaeme, Dickson"
"Nwakaeme, Tony"
"Nwakali, Chidiebere"
"Nwakali, Kelechi"
"Nwamora, Kelvin Ebuka"
"Nwanganga, Kennedy"
"Nwani, Victor"
"Nwankwo, Daniel"
"Nwankwo, Nigel"
"Nwobodo, Obinna"
"Nwokolo, Greg"
"Nwolokor, David"
"Nworah, Peter"
"Nworuh, Jude"
"Nwosu, Sam"
"Nwosu, Success"
"Nyamekeh, Jonathan"
"Nzekwe, Michael"
"Obada, Felix"
"Obadeyi, Tope"
"Obafemi, Michael"
"Obagbemiro, Junior"
"Obaje, Nelson"
"Obanor, Erhun"
"Obasi, Chinedu"
"Obayomi, Ibrahim"
"Obem, Odong"
"Obi, Charles"
"Obi, Emeka"
"Obi, James"
"Obi, Joel"
"Obi, Joffrey"
"Obi, Kizito"
"Obi, Ogo"
"Obi, Paul"
"Obi, Samuel"
"Obiakor, Henry"
"Obiechina, Pentecost Ikenidachi"
"Obijuru, Patrick"
"Obika, Jonathan"
"Obileye, Ayo"
"Obinna, Dino"
"Obinna, Victor"
"Obinwa, Abuchi"
"Obioma, Chinonso"
"Obiora, Nwankwo"
"Oboabona, Godfrey"
"Obodo, Kenneth"
"Obonogwu, Tony"
"Obot, Denis Samuel"
"Ocheje, Moses"
"Odafin, Daniel"
"Odeh, Sunday"
"Odejayi, Kayode"
"Odelusi, Sanmi"
"Odemwingie, Peter"
"Odeoibo, Samuel"
"Odey, Stephen"
"Odibo, Godwin"
"Odimayo, Akin"
"Odipe, Olaolu"
"Odita, Obiorah"
