"Name"
"Aabrekk, Torbjorn"
"Aadland, Emil"
"Aadnoy, Mathias"
"Aalbu, Tobias"
"Aalefj?r, Thomas"
"Aalmen, Hakon"
"Aalvik, Bendik"
"Aamodt, Pal"
"Aanesland, Markus"
"Aanonsen, Simen"
"Aaram, Thomas"
"Aarnes, Kristoffer"
"Aarnes, Thorbjorn"
"Aaro, Nikolai"
"Aarones Iversen, Anders"
"Aarrestad, Sondre"
"Aarstad, Trygve"
"Aarstrand, Mikkel"
"Aas, Christian"
"Aas, Jo Sondre"
"Aas, Magnus"
"Aas, Nikolai"
"Aas, Peter"
"Aasarod, Magnus"
"Aasbak, Christoffer"
"Aasbo, Arnstein"
"Aase, Daniel"
"Aase, Johannes"
"Aase, Peter"
"Aase, Stefan"
"Aasegjerd, Stein"
"Aasen, Georg"
"Aasen, Joachim"
"Aasen, Matias"
"Aasen, Ole Bjorn"
"Aasen, Ole Fredrik"
"Aasen, Ole Marius"
"Aasen, Petter"
"Aasen, Vegard"
"Aasgaard, Thelo"
"Aas-Hansen, Johnny"
"Aasheim, Finn Christian"
"Aasheim, Tor Andre"
"Aaslund, Morten"
"Aasmundsen, Stian"
"Aasmundstad, Simen"
"Aasmundtveit, Sigbjorn"
"Aass, Bjorn Erik"
"Aass, Kai"
"Aasvestad, Eirik"
"Abdellaoue, Mustafa"
"Abdi, Liban"
"Abdijalil, Milkeyso"
"Abdullah, Kamal"
"Abelseth, Runar"
"Abelvik, Frank"
"Abelvik, Terje"
"Abusdal, Erlend"
"Achrifi, Mustapha"
"Adam, Bule"
"Ademaj, Dreni"
"Adlandsvik, Ferdinand"
"Adra, Espen"
"Adra, Wilhelm"
"Adriansen, Chris"
"Adriansen, Jorgen"
"Aga, Oscar"
"Agdestein, Torbjorn"
"Agic, Elvis"
"Agouda, Abdul-Basit"
"Ahamed, Mohammed"
"Ahlander, Axel"
"Ahmadi, Sharesh"
"Ahmadzai, Kheirullah"
"Ahmed, Faysal"
"Ajazi, Bersi"
"Ajer, Kristoffer"
"Ajeti, Bajram"
"Akinyemi, Akinbola"
"Akinyemi, Shola"
"Akoi, Dwett"
"Akre, Bendik"
"Akselsen, Edvin"
"Akselsen, Martin"
"Alapnes Arhus, Torben"
"Alba, Riki"
"Albertsen, Martin"
"Albertsen, Paul"
"Aleesami, Ayoub"
"Aleesami, Haitam"
"Alfredsen, Jorgen"
"Ali, Liban"
"Ali, Oussema"
"Ali, Shadi"
"Alkanany, Mortadha Jassim"
"Allasan, David"
"Alm, Marius"
"Almas, Peder"
"Alme, Dennis"
"Alme, Emil"
"Alme, Ole-Monrad"
"Almlov, Christian"
"Alseth, Oyvind"
"Alsgaard, Marius"
"Alsgaard, Simen"
"Amankwah, Yaw"
"Amarkhel, Vahidullah"
"Amdal, Oliver"
"Amer, Younes"
"Amundrod, Martin"
"Amundsen, Anders"
"Amundsen, Jan Tore"
"Amundsen, Lars"
"Amundsen, Marius"
"Andal, Ulrik"
"Andersen Ingebretsen, Viktor"
"Andersen Lindstad, Rune"
"Andersen, Christoffer"
"Andersen, Daniel"
"Andersen, Fabian"
"Andersen, Gabriel"
"Andersen, Halvor"
"Andersen, Henrik"
"Andersen, Jens"
"Andersen, Jorgen"
"Andersen, Kevin"
"Andersen, Kjetil"
"Andersen, Kristoffer"
"Andersen, Magne"
"Andersen, Magnus"
"Andersen, Marcus"
"Andersen, Marius"
"Andersen, Marius"
"Andersen, Martin"
"Andersen, Martin Hoel"
"Andersen, Mats"
"Andersen, Nils Petter"
"Andersen, Oyvind"
"Andersen, Tom"
"Andkilen, Simon"
"Andreassen, Cornelius"
"Andreassen, Kristian"
"Andreassen, Lars Henrik"
"Andreassen, Sebastian"
"Andreassen, Tor Arne"
"Andresen, Kristian"
"Andresen, Pal Steffen"
"Anene, Chuma"
"Anfindsen, Tommy"
"Angell, Marcus"
"Angelvik, Frank"
"Angvik, Jan Roger"
"Ansnes, Kristoffer"
"Anthonessen, Felix"
"Anti Tangen, Frank Ailo"
"Antonsen, Kent-Are"
"Antonsen, Martin"
"Antonsen, Niklas"
"Apeland, Kaj-Stian"
"Arctander, Vegard"
"Ardal, Oddne"
"Arezou, Amid"
"Arezou, Balal"
"Armstrong, Joel"
"Arnebrott, Erik Johannes"
"Arnesen, Amadeus"
"Arnesen, Jan Morten"
"Arnesen, Simen"
"Arntsberg, Stale"
"Arntsen, Andreas"
"Arntsen, Fredrik"
"Arzani, Davod"
"As Finberg, Emil"
"Asali Hanssen, Henrik"
"Asani, Edmir"
"Asante Gayi, Eirik"
"Asbjornsen, Eirik"
"Asbjornsen, Simen"
"Asdal, Jonathan"
"Asebo, Kristoffer"
"Asen, Gjermund"
"Ashby, Victor"
"Asheim, Havard"
"Ask Mikkelsen, Magnus"
"Askar, Amin"
"Askeland, Gustav"
"Askildsen, Kristoffer"
"Asklien, Jonas"
"Aslaksrud, Jens"
"Aslesen, Alf Oivind"
"Aslie, Petter"
"Astrom, Daniel"
"Attila, Markus"
"Aubert, Jan Christian"
"Augdal, Marius"
"Aukland, Philip"
"Aukrusttr?det, Daniel"
"Aurland, Jonas"
"Aursnes, Cato"
"Aursnes, Fredrik"
"Austbo Seth, Magnus"
"Austbo, Iven"
"Austevik, Atle"
"Austevoll, Sindre"
"Austnes, Jan Ove"
"Avsnes, Fredrik"
"Awuor, Lang"
"Ayd?n, Volkan"
"Aykut, Devrim"
"Azemi, Fitim"
"Baasmo Christiansen, Frank"
"Babic, Amar"
"Baccay, Josef Brian"
"Badendyck, Tom"
"Baisotti, Mikael"
"Bakenga, Mushaga"
"Bakkane Bertheussen, Alexander"
"Bakke, Andre"
"Bakke, Elias"
"Bakke, Henrik"
"Bakke, Pal Trygve"
"Bakke, Robin"
"Bakkelund, Fredrik"
"Bakken Dieserud, Anders"
"Bakken Haugen, Stian"
"Bakken Tveter, Hakon"
"Bakken Tveter, Lars-Erik"
"Bakken, Christer"
"Bakken, Jonas-Aleksander"
"Bakken, Kim Andre"
"Bakken, Petter"
"Bakken, Roar"
"Bakkene, Sindre"
"Bakke-Nilssen, Ingvar"
"Balstad, Ulrik"
"Balto, Dag Andreas"
"Bam Hide"
"Bangala, Boris"
"Barakat, Said"
"Barane, Stian"
"Bardshaug, Christian"
"Barli, Even"
"Barmen, Kristoffer"
"Barobe, Iva"
"Barstad Bergan, Sander"
"Barstad, Joakim"
"Barstad, Markus"
"Bech Hermansen, Noah"
"Begby, Ludvig"
"Beite, Sondre"
"Bekke, Michael Andre"
"Bekkeheien, Petter"
"Bekkengen, Jorgen"
"Bekker, Inge"
"Bekker, Terje"
"Bekkevold, Daniel"
"Bellhcen, Elmahdi"
"Belli Moldskred, Matias"
"Benchow, Martin"
"Bencsik, Cornelius"
"Bendu, Benjamin"
"Benmoussa, Monir"
"Bentsen, Kasper"
"Bentsen, Kim"
"Berbatovci, Albert"
"Berg Hestad, Runar"
"Berg Melby, Simen"
"Berg Pedersen, Brage"
"Berg Sundsoy, Joakim"
"Berg, Daniel"
"Berg, Fredrik"
"Berg, Martin"
"Berg, Martin Andre"
"Berg, Ole"
"Berg, Oliver"
"Berg, Patrick"
"Berg, Stian"
"Bergan Solli, Christer"
"Bergan Solli, Trym"
"Bergan, Sigurd"
"Bergan, Vegard"
"Bergdolmo, Mads"
"Berge, Haakon"
"Berge, Jone"
"Berge, Martin"
"Berge, Mathias"
"Berge, Sander"
"Bergenheim, Iben"
"Bergersen, Jonas"
"Berget Skjolsvik, Aksel"
"Berget, Jo Inge"
"Bergfall Kvisle, Knut Erik"
"Berg-Hansen, Terje"
"Berg-Hanssen, Stian"
"Berglann, Ulrik"
"Berglie, Fredrik Tobias"
"Berglov Os, Remi Andre"
"Bergquist, Einar"
"Bergset, Kaspar"
"Bergsholm, Johan"
"Bergstrom, Emmanuel"
"Bergum Edvardsen, Asmund"
"Berisha, Valon"
"Berisha, Veton"
"Berntsen, Daniel"
"Berntsen, Daniel"
"Berntsen, Jonatan"
"Berntsen, Mikael"
"Berntsen, Steffen"
"Berntsen, Vegar"
"Berntzen, Hermann"
"Berntzen, Marius"
"Berre, Odin"
"Berstad, David"
"Bertelsen, John"
"Bertelsen, Matheo"
"Bertelsen, Trond Erik"
"Betten Hansen, Alexander"
"Bidne, Kristoffer"
"Bientie, Thor"
"Bildoy, Marius"
"Birkeland, Arve"
"Birkeland, Sander"
"Birkeland, Viljar"
"Birkelund, Eirik"
"Biti N?ss, Ande"
"Bizoza, Frank"
"Bizoza, Parfait"
"Bjelland, Andreas"
"Bjellanes, Ivar"
"Bjerkas, Joakim"
"Bjerve, Jorgen"
"Bjordal Leine, Hakon"
"Bjordal, Arne"
"Bjordal, Eskil"
"Bjordal, Henrik"
"Bjordal, Johan"
"Bjordal, Petter"
"Bjorgolfsson, Eythor"
"Bjorgulfsen, Fredrik"
"Bjorhovde, Stian"
"Bjorkaas, Magnus"
"Bjorkan, Fredrik Andre"
"Bjorkavag, Frank"
"Bjorke-Olssen Prytz, Gjermund"
"Bjorkkj?r, Sverre"
"Bjorklid, Erik"
"Bjorklo, Kristian"
"Bjorkoy, Leonard"
"Bjorlo, Morten"
"Bjorlo, Orjan"
"Bjorna, Sander"
"Bjornbak, Martin"
"Bjorneboe, Stian"
"Bjornebye, Lars"
"Bjornebye, Marcus"
"Bjornebye, Marius"
"Bjornebye, Tobias"
"Bjorneraas, Rick Peo"
"Bjornerud, Fredrik"
"Bjornerud, Patrick"
"Bjornholm-Jatta, Robin"
"Bjornland, Kasper"
"Bjornland, Ola"
"Bjornstad, Tobias"
"Bjornvag, Aleksander"
"Bjorseth, Kristian"
"Bjorshol, Sondre"
"Bjortuft, Alexander"
"Bjortuft, Odin"
"Bjorvik, Magnus"
"Bjune Horgen, Even"
"Blaka, Valentin"
"Blakstad, Magnus"
"Blalid, Frank Are"
"Blarud, Glenn Bjornar"
"Blarud, Mathias"
"Blikstad, Marius"
"Blindheim, Sindre"
"Blomberg, Ole-Didrik"
"Blystad, Herman"
"Bodtker, Johannes"
"Boe Saltbones, Edward"
"Boe Sjo, Arild"
"Bogard, Bjarte"
"Bogild, Mads"
"Bogno, Fredrik"
"Bogno, Mikael"
"Bognoy, Lars Christian"
"Bohinen, Emil"
"Bohmer, Jorn"
"Boifot, Steffen"
"Bojadzic, Sanel"
"Bojang, Jibril"
"Bojang, Sulayman"
"Boldt, Marius"
"Bolly, Mathis"
"Bolme, Sondre"
"Bolme, Steffen"
"Bolsones Svendsen, Hermann"
"Bolstad, Stian"
"Bonden, Andreas"
"Book, Kristoffer"
"Borch Nash, Endre"
"Borchgrevink, Christian"
"Bordvik, Aslak"
"Borgen, Borge"
"Borgersen, Oscar"
"Borgersen, Peder"
"Borgersen, Tomas"
"Borkeeiet, Tobias"
"Bormark-By, Orjan"
"Borsheim Kalstad, Kjell-Torstein"
"Bortu, Dauda"
"Borufsen, Espen"
"Borve Larsen, Birger"
"Borven, Torgeir"
"Botheim, Erik"
"Bothne Bleika, Michael"
"Bothne Bleika, Thomas"
"Bothun, Martin"
"Bottolfs, Hakon"
"Boujar, Benjamin"
"Boyum, Fartein"
"Braaten, Daniel"
"Braaten, Magnus"
"Braaten, Thomas"
"Braathen, Patrik"
"Br?ndsrod, Markus"
"Brakic, Ajdin"
"Brandal, Ruben-Kenneth"
"Bransdal, Lasse"
"Bratberg Lund, Espen"
"Bratberg Lund, Marius"
"Bratland, Tor"
"Bratseth, Stein"
"Brattbakk, Filip"
"Bratveit, Per Kristian"
"Braut Brunes, Jonatan"
"Brautaset, Hakon"
"Brauti, Jonas Vatne"
"Bredsdorff Hotvedt, Lars Petter"
"Breimyr, Andreas"
"Breimyr, Hans Petter"
"Breimyr, Henrik"
"Breistol, Ole"
"Breivik, Emil"
"Breivik, Felix"
"Breivik, Havard"
"Breivik, Martin"
"Brekke, Martin"
"Brekken, Erik"
"Brekkhus, Simen"
"Brekkhus, Torstein"
"Brenden, Erik"
"Brendlokken, Sami"
"Brenn, Brage"
"Brenna, Kim Andre"
"Brenne, Endre"
"Brenne, Kim-Andre"
"Bretun, Kristian"
"Bretvik, Oscar"
"Brevig, Marius"
"Brevik, Mats"
"Brevik, Sindre"
"Breza, Sebastian"
"Bright-Taylor, Tallak"
"Brinch, Alexander"
"Brinch, Andre"
"Brinch, Johan"
"Brinck Rygel, Marius"
"Bringaker, Mathias"
"Bringsverd, Tor Axel"
"Brix, Kristian"
"Brokerud, David"
"Brons, Bernard"
"Brovold, Hans"
"Brudvik, Sebastian"
"Bruenech, Elias"
"Bruenech, Joachim"
"Bruheim, Terje"
"Brunskow, Thomas"
"Brustad, Fredrik"
"Brustad, Ola"
"Bruun-Hanssen, Magnus"
"Brynhildsen, Ola"
"Bubak, Thomas"
"Buckner, Kristian Eivind"
"Buduson, Johnny Per"
"Bugten, Ove"
"Bukten, Sivert"
"Buljo, Sami"
"Buljo, Tommy"
"Bull, Ian"
"Bun?s, Henning"
"Bunes, Amund"
"Bustgaard Larsen, Marius"
"Bydal, Even"
"Bye, Bendik"
"Byklum, Henrik"
"Byttingsvik, Jonatan"
"Bytyqi, Zymer"
"Calderon, Fabian"
"Campher, David"
"Can, Mesut"
"Carlsen, Fredrik"
"Carlsson, Henrik"
"Caroprese, Alessandro"
"Caspersen, Stian"
"Castilla, Andreas"
"Castro, Niklas"
"Cedra, Mikdad"
"Ceide, Emil"
"Ceide, Mikkel"
"Celik, Savas"
"Celina, Behajdin"
"Celina, Bersant"
"Celina, Loti"
"Celius, Stian"
"Chaib, Youssef"
"Cham, Momodou"
"Chamran, Birkay"
"Chedi, Adam"
"Cheng, Christopher"
"Christensen, Aron"
"Christensen, Jorgen"
"Christensen, Kasper"
"Christensen, Markus"
"Christensen, Odd Magne"
"Christensen, Ole"
"Christensen, Stian"
"Christensen, Tobias"
"Christian Christoffersen, Mikkel"
"Christiansen Aamodt, Stig Inge"
"Christiansen, Sander"
"Christiansen, Simen"
"Christianssen, Eirik"
"Ciku, Elvist"
"Cilingiroglu, Deniz"
"Cinho, Awat"
"Civelek, Ibrahim"
"Coldevin, Raymond"
"Colic, Edo"
"Collett, Simen"
"Collett, Tobias"
"Colley, Modou"
"Conradsen, Morten"
"Cooper, Mattias"
"Corneliussen, Orjan"
"Cornic, Leo"
"Corovic, Aleksandar"
"Corovic, Dejan"
