"Name"
"Abade, Luis"
"Abdul, Claudio"
"Abdul, Diogo"
"Abdul, Jose"
"Abel, Cristiano"
"Abi"
"Abrantes, Andre"
"Abrantes, Joao"
"Abrantes, Miguel"
"Abreu, Andre"
"Abreu, Cristiano"
"Abreu, Edgar"
"Abreu, Fabio"
"Abreu, Flavio"
"Abreu, Gil"
"Abreu, Goncalo"
"Abreu, Humberto"
"Abreu, Joao"
"Abreu, Joao"
"Abreu, Marcio"
"Abreu, Marco"
"Abreu, Miguel"
"Abreu, Nuno"
"Abreu, Pedro"
"Abreu, Rui"
"Abubakar, Asumah"
"Abudu"
"Adilson"
"Adilson"
"Adriano, Andre"
"Adryan"
"Afonso, Andre"
"Afonso, Bruno"
"Afonso, Bruno"
"Afonso, Daniel"
"Afonso, Diogo"
"Afonso, Fabio"
"Afonso, Filipe"
"Afonso, Francisco"
"Afonso, Joao"
"Afonso, Joao"
"Afonso, Joao"
"Afonso, Leandro"
"Afonso, Marco"
"Afonso, Mauro"
"Afonso, Nuno"
"Afonso, Ricardo"
"Afonso, Ricardo"
"Afonso, Wilson"
"Agostinho, Fabio"
"Agostinho, Joao"
"Agostinho, Joao"
"Agostinho, Paulo"
"Agostinho, Tiago"
"Agostinho, Vasco"
"Agouzoul, Abderrahim"
"Agra, Nelson"
"Agra, Nelson"
"Agra, Salvador"
"Agrela, Aires"
"Agrela, Ruben"
"Agrelos, Goncalo"
"Aguamel, Jose"
"Aguas, Martim"
"Aguiar, Bruno"
"Aguiar, Iban"
"Aguiar, Pedro"
"Aguilar, Francisco"
"Aguinaldo"
"Agyemang, Edward"
"Aicher, Andreas"
"Ailson Junior"
"Ailton"
"Aires, Carlos"
"Akaminko, Prince"
"Al Hassan"
"Alan Santolini"
"Alassane, Papa"
"Albano, Andre Miguel"
"Albano, Leandro"
"Albarran, Luis"
"Albasini, Fabio"
"Albergaria, Pedro"
"Alberto"
"Alberto, Carlos"
"Alberto, Diogo"
"Albino, Pedro"
"Albino, Rafael"
"Albino, Rui"
"Albino, Simao"
"Albisetti, Fabian"
"Albuquerque, Bruno"
"Albuquerque, Diogo"
"Albuquerque, Miguel"
"Albuquerque, Nuno"
"Albuquerque, Telmo"
"Aldair"
"Alegria, Sergio"
"Aleixo, Rui"
"Aleixo, Vasco"
"Alex"
"Alex"
"Alex"
"Alex"
"Alex"
"Alex"
"Alex"
"Alex"
"Alex Flavio"
"Alex Garcia"
"Alex Miguel"
"Alex Porto"
"Alex Sandro"
"Alexandre"
"Alexandre"
"Alexandre, Diogo"
"Alexandre, Fernando"
"Alexandre, Joao"
"Alexandre, Jose"
"Alexandre, Renato"
"Alexandre, Tiago"
"Alexis"
"Alfaia, Ruben"
"Alfaiate, Alexandre"
"Alfaiate, Daniel"
"Alfama"
"Algarvio, Andre"
"Alhinho, Valdo"
"Alho, Joao"
"Alipio"
"Alirio, Rodrigo"
"Alisson"
"Allan"
"Allgaier, Pedro"
"Almeida, Andre"
"Almeida, Andre"
"Almeida, Andre"
"Almeida, Angelo"
"Almeida, Bernardo"
"Almeida, Bruno"
"Almeida, Bruno"
"Almeida, Carlos"
"Almeida, Daniel"
"Almeida, Daniel"
"Almeida, Danilo"
"Almeida, David"
"Almeida, Dinis"
"Almeida, Diogo"
"Almeida, Diogo"
"Almeida, Diogo"
"Almeida, Domingos"
"Almeida, Dominik"
"Almeida, Duarte"
"Almeida, Elson"
"Almeida, Fernando"
"Almeida, Fernando"
"Almeida, Filipe"
"Almeida, Filipe"
"Almeida, Filipe"
"Almeida, Goncalo"
"Almeida, Gustavo"
"Almeida, Guy"
"Almeida, Helder"
"Almeida, Helder"
"Almeida, Hugo"
"Almeida, Hugo"
"Almeida, Jose"
"Almeida, Kelvin"
"Almeida, Leo"
"Almeida, Luis"
"Almeida, Luis"
"Almeida, Manuel"
"Almeida, Mickael"
"Almeida, Miguel"
"Almeida, Miguel"
"Almeida, Paulo"
"Almeida, Pedro"
"Almeida, Pedro"
"Almeida, Pedro"
"Almeida, Pedro"
"Almeida, Pedro"
"Almeida, Raphael"
"Almeida, Raul"
"Almeida, Ricardo"
"Almeida, Ricardo"
"Almeida, Roberto"
"Almeida, Rui"
"Almeida, Rui"
"Almeida, Sergio"
"Almeida, Tiago"
"Almeida, Tiago"
"Almeida, Vitor"
"Almeida, Wilson"
"Altair Junior"
"Alvarinho"
"Alvaro"
"Alvaro, Pedro"
"Alvaro, Tiago"
"Alvernaz, Manuel"
"Alves, Alvaro"
"Alves, Andre"
"Alves, Antonio"
"Alves, Artur"
"Alves, Bernardino"
"Alves, Bruno"
"Alves, Carlos"
"Alves, Carlos"
"Alves, Diego"
"Alves, Emanuel"
"Alves, Filipe"
"Alves, Flavio"
"Alves, Francisco"
"Alves, Francisco"
"Alves, Herson"
