"Name"
"Acman, Timotej"
"Adam, David"
"Adamic, Niko"
"Adlesic, Tomaz"
"Agic, Alen"
"Agic, Semir"
"Ahacic, Matic"
"Ahcin, Nemanja"
"Ahec, Tilen"
"Ajkic, Adis"
"Ajlec, Ales"
"Ajlec, Klemen"
"Ajlec, Nejc"
"Aleksandrov, Tilen"
"Alessi, Giovanni"
"Ambrozic, Anze"
"Ambrozic, Blaz"
"Ambrozic, Jakob"
"Ambrozic, Nejc"
"Andjelic, Stefan"
"Andjelkovic, Goran"
"Andjelkovic, Sinisa"
"Andrejasic, Jan"
"Andric, Vjekoslav"
"Angov, Dejan"
"Antolic, Damjan"
"Antolic, Mitja"
"Antunovic, Vladimir"
"Anzel, Leon"
"Apatic, Tadej"
"Arcon, Sandi"
"Arh Cesen, Kristjan"
"Arko, Jalen"
"Arsic, Jure"
"Arsic, Srdjan"
"Arzensek, Simon"
"Atanasov, Darko"
"Avbelj, Alen"
"Avbelj, Ivan"
"Avbelj, Tomaz"
"Avbelj, Ziga"
"Avdic, Demir"
"Avdic, Edin"
"Avgustin, Tomaz"
"Avsec, Tadej"
"Azman, Aljosa"
"Babic, Matjaz"
"Babic, Miha"
"Babnik, Jure"
"Babsek, Aljaz"
"Babsek, Zan"
"Bacinovic, Armin"
"Badzim, Luka"
"Bajde, Gregor"
"Bajrami, Medin"
"Bajric, Kenan"
"Balazic, Gregor"
"Balazic, Ivo"
"Balkovec, Jure"
"Baloh, Denis"
"Banovic, Dejan"
"Barbaric, Tilen"
"Baric, Kristijan"
"Barisic, Ivan"
"Barisic, Maks"
"Bartulovic, Damir"
"Barukcic, Igor"
"Barukcic, Mateo"
"Barut, Primoz"
"Basa, Andrej"
"Basic, Denis"
"Basic, Semir"
"Baskera, Rok"
"Batic, Jani"
"Batic, Luka"
"Bavrlic, Dejan"
"Becaj, Rok"
"Beciri, Severdzan"
"Bedek, Marko"
"Bek, Denis"
"Belak, Miha"
"Bele, Luka"
"Belec, Vid"
"Belsak, Jani"
"Bencak, Alen"
"Bencik, Miran"
"Benedicic, Zan"
"Bengez, Jan"
"Benovic, Goran"
"Berginc, Denis"
"Beric, Aleksandar"
"Beric, Robert"
"Berko, Sebastjan"
"Bertalanic, Nino"
"Bezjak, Roman"
"Bezovnik, David"
"Bicek, Franci"
"Bicic, Nick"
"Bijol, Jaka"
"Birsa, Valter"
"Bizjak, Franc"
"Bizjak, Jaka"
"Bizjak, Lovro"
"Bjedov, Vid Kobe"
"Blatnik, Alen"
"Blazevic, Deni"
"Blazic, Matija"
"Blazic, Miha"
"Blazincic, Igor"
"Blaznik, Jernej"
"Bloudek, Sandro"
"Boben, Matija"
"Bodiroza, David"
"Bogolin, Anej"
"Bohar, Damjan"
"Bojic, Momir"
"Bojovic, Dalibor"
"Bokal, Rok"
"Bokal, Ziga"
"Boksan, Jaka"
"Bole, Blaz"
"Bole, Saso"
"Bolha, Klemen"
"Bonajo, Jon"
"Bordon, Patrik"
"Borenovic, Sinisa"
"Borovnik, Miha"
"Bosilj, Sasa"
"Boskovic, Aleksandar"
"Botjak, Mitja"
"Bozanic, Oliver"
"Bozic, Blaz"
"Bozic, Bostjan"
"Bozic, Darko"
"Bozic, David"
"Bozic, Davor"
"Bozic, Gasper"
"Bozic, Klemen"
"Bozic, Lan"
"Bozic, Marko"
"Bozic, Matej"
"Bozic, Matija"
"Bozic, Slavisa"
"Bozic, Uros"
"Bozic, Zlatko"
"Bracic, Jan"
"Bracko, Luka"
"Bracko, Miha"
"Bracko, Nejc"
"Bracko, Simon"
"Bragato, Luka"
"Bratanovic, Elvis"
"Bratina, Aleksander"
"Bratusek, Miha"
"Brecevic, Ivan"
"Brecko, Dejan"
"Brecko, Franc"
"Brecko, Jure"
"Brecl, Amadej"
"Breg, Rok"
"Brekalo, David"
"Bremec, Sandi"
"Brezan, Klemen"
"Brezaric, Rok"
"Brezovacki, Blaz"
"Brglez, Blaz"
"Brglez, Tilen"
"Bric, Kevin"
"Brljak, Darko"
"Brodnjak, Nejc"
"Brolih, Lenart"
"Brumec, Ziga"
"Brumen, Alen"
"Brumen, Denis"
"Brumen, Kristijan"
"Bubanja, Davor"
"Bucar, David"
"Bucic, Mario"
"Budna, Denis"
"Bukara, Igor"
"Bunderla, Gregor"
"Burin, Matija"
"Burkeljca, Nik"
"Burkic, Emir"
"But, Gorazd"
"Buzan, Primoz"
"Buzeti, Rok"
"Buzinel, Aleksander"
"Buzinel, Jaka"
"Buzinel, Jure"
"Buzinel, Rok"
"Buzinel, Tadej"
"Cadez, Luka"
"Cadikovski, Dragan"
"Cafuta, Gregor"
"Cajnko, Tibor"
"Caks, Ziga"
"Caldelari, Levin"
"Camdzic, Ermin"
"Campolunghi, Matevz"
"Cancar, Marko"
"Cander, Andraz"
"Cander, Crtomir"
"Cander, Goran"
"Cander, Luka"
"Cander, Urban"
"Cankar, Zan"
"Cater, Matevz"
"Cater, Nik"
"Catic, Denis"
"Cavnik, Ziga"
"Cede, Mitja"
"Ceh, Ales"
"Ceh, Darjan"
"Ceh, Goran"
"Ceh, Nastja"
"Ceh, Sasa"
"Cehic, Damir"
"Cej, Patrik"
"Cekovski, Denis"
"Celar, Zan"
"Celcer, Uros"
"Celec, Sasa"
"Celner, Kristijan"
"Cerar, Lenart"
"Cerar, Luka"
"Cerar, Manuel"
"Cerenak, Jernej"
