"Name"
"Abdu, Lumala"
"Abdullah, Kamal"
"Abondo, Ali"
"Aheebwa, James"
"Amanakow, Emmanuel"
"Amanda, Gloire"
"Ambokile, Eluid"
"Andzouana, Yhoan"
"Anyembe, Daniel"
"Athuman, Ismael"
"Aton, Kaddu"
"Aucho, Khalid"
"Avounou, Durel"
"Ayunga, Jonah"
"Azira, Micheal"
"Bafounta, Ronald"
"Bahamboula, Dolan"
"Bahamboula, Dylan"
"Bakaki, Constantin"
"Bakkabulindi, Julius"
"Banda, Abdi"
"Banza, Enoch"
"Bassompa, Dalphin"
"Batubinsika, Dylan"
"Baudry, Marvin"
"Bbakka, Alexis"
"Bellagambi, Giosue"
"Biatoumoussoka, Messie"
"Bifouma, Thievy"
"Bitsamou, Chris"
"Bitsindou, David"
"Bitsindou, Romeni Scott"
"Bouka Moutou, Arnold"
"Boukaka, Jean-Bryan"
"Boutamba, Francis"
"Breitenmoser, Magnus"
"Bukenya, Ivan"
"Bulabek, Deng"
"Bwami Mungwande, Adolphe"
"Bwamy, Christian"
"Bwana, Handwalla"
"Bwomono, Elvis"
"Capradossi, Elio"
"Cernak, Isaka"
"Chilunda, Shaaban Idd"
"Dafaa, Anthony"
"Damraoui, Dylan"
"Ddungu, Derrick"
"Ddungu, Raymond"
"Delarge, Dzon"
"Dembi, Fred"
"Deng, Peter"
"Deng, Thomas"
"Dex Kaniki"
"Diampo, Osee"
"Douniama, Ladislas"
"Dzabana, Alan"
"Ebondo, Rudy"
"Echesa, Hillary"
"Eddy Francis"
"Edema, Patrick"
"Ekhalie, Amos"
"Emmerson, Vladis"
"Essende, Samuel"
"Eta, Michel"
"Etou, Ramaric"
"Faridi"
"Fermino, Enes"
"Feruz, Islam"
"Filanckembo, Cecil"
"Fode Dore"
"Fofana, Guy"
"Fofana, Heritier"
"Gandze, Cesaire"
"Ganvoula, Rochel"
"Ganvoula, Silvere"
"Georges Koussy"
"Gitau, David"
"Goteni, Randi"
"Haji, Siad"
"Ibayi, Christopher"
"Iguma, Denis"
"Iloki, Jules"
"Irabona, Aladin"
"Itoua, Beranger"
"Itoua, Bovid"
"Itoua, Fred"
"Johana Omondi, Eric"
"Joseph, Joseph"
"Junior Etou"
"Kaguah, Kevin"
"Kakeeto, Robert"
"Kakuba, Alex"
"Kalanzi, Moses"
"Kalungi, Henry"
"Kalyesubula, Hanny"
"Kamau, Bruce"
"Kamau, Ian"
"Kamau, Michael"
"Kamba, Abubaker"
"Kambere, Diaz"
"Kaniki, Dorian"
"Kapolongo, Ulrich"
"Kasa, Adam"
"Kaseja, Juma"
"Kassaga, Richard"
"Kata, Nico"
"Katende, Jerome"
"Kateregga, Allan"
"Katuma, Aron"
"Kibamba, Baron"
"Kibona, Zakaria"
"Kiddu, Tif"
"Kihwelo, Super"
"Kimbembe, Fulgency"
"Kimera, Ali"
"Kinfounia, Alain"
"King, Charlie"
"King, David"
"King'atua, David"
"Kipson, Atuheire"
"Kisekka, Henry"
"Kisonga, Jerome"
"Kiwomya, Alex"
"Kiyari Mouyabi, Gildas"
"Kizito, Keziron"
"Kizito, Luwaga"
"Kizza, Martin"
"Kolo, Randal"
"Kololo, M'Sendo"
"Konongo, Hugo"
"Koungou, Roland"
"Koussalouka, Blanstel"
"Koussalouka, Roland"
"Kumi, Isaac"
"Lelan, Josh"
"Lema, Michael John"
"Lenighan, Simon"
"Lepicier, Mael"
"Limbombe, Stallone"
"Linganzi, Amine"
