"Name"
"Abanda, Joel"
"Abazi, Luan"
"Abdi, Almen"
"Abdoski, Jasmin"
"Abedini, Eris"
"Abegglen, Nico"
"Abegglen, Robim"
"Abegglen, Roger"
"Abrashi, Amir"
"Achermann, Ramon"
"Ackun, Melvin"
"Adanalic, Muamer"
"Adebayo, John"
"Ademi, Kemal"
"Ademi, Orhan"
"Adili, Endogan"
"Adjei, Luther-King"
"Aebischer, Michel"
"Aeschbacher, Alain"
"Affolter, Francois"
"Agostini, Pascal"
"Agushi, Denis"
"Ahlbrecht, Felix"
"Ahmetaj, Valon"
"Ajdini, Artrit"
"Ajeti, Adonis"
"Ajeti, Albian"
"Ajeti, Arlind"
"Ajeti, Floran"
"Aka'a, Eugene Herve"
"Akanji, Manuel"
"Akdeniz, Seyfettin"
"Akgun, Mustafa"
"Akinde, Emeka"
"Akyer, Yusuf"
"Al Abbadie, Abdul Gabar"
"Albarran, Luis"
"Albisetti, Fabian"
"Albrecht, Pascal"
"Alder, Michael"
"Aleksovski, Kiril"
"Alesevic, Armin"
"Alessandrini, Elia"
"Alic, Safet"
"Alic, Zejd"
"Aliji, Naser"
"Alioski, Ezgjan"
"Aliti, Fidan"
"Aliu, Izer"
"Allegri, Mario"
"Alonso, Thomas"
"Alpsoy, Harun"
"Altenburger, Marcel"
"Alvarez, Adrian"
"Alves, Roberto"
"Amendola, Francesco"
"Amidi, Arlind"
"Ammeter, Nicholas"
"Amzai, Betim"
"Amzi, Miralem"
"Andereggen, Nicolas"
"Andermatt, Mattia"
"Andermatt, Nico"
"Andreani, Didier"
"Andrezinho"
"Andrich, Thomas"
"Andrin, Leon"
"Andrist, Stephan"
"Angeli, Attilio"
"Angha, Martin"
"Antic, Boban"
"Antic, Goran"
"Antinori, Francesco"
"Antonazzi, Georg"
"Antoniazzi, Gianni"
"Antunes, Alexis"
"Anzevui, Anthony"
"Appella, Raffaele"
"Aratore, Marco"
"Araz, Musa"
"Arifi, Alban"
"Arigoni, Allan"
"Arnaboldi, Matteo"
"Arnaud, Adam"
"Arnold, Remo"
"Asllani, Mersim"
"Atangana, Rigobert"
"Atkinson, Jonathan"
"Aubry, Robin"
"Audino, Ivan"
"Auer, Gabriel"
"Avanzini, Michel"
