"Name"
"Abdokov, Oleg"
"Ablitarov, Rizvan"
"Adamenko, Gennadiy"
"Adamenko, Maxym"
"Adamenko, Mykyta"
"Adamenko, Roman"
"Adamov, Artem"
"Adamyuk, Volodymyr"
"Agapov, Maxym"
"Aksyonov, Olexandr"
"Akulinin, Leonid"
"Akymenko, Olexandr"
"Alefirenko, Danylo"
"Alexandrov, Alexandr"
"Alexandrov, Olexiy"
"Alexeev, Alexandr"
"Alexeev, Vladyslav"
"Alexeyenko, Kyrylo"
"Ali, Farid"
"Alibekov, Ahmed"
"Aliev, Olexandr"
"Aliokhin, Olexandr"
"Andreasyan, Armen"
"Andreev, Vladimir"
"Andreichenko, Rinat"
"Andrieiev, Serhii"
"Andrievskyi, Eugene"
"Andrievskyi, Olexandr"
"Andrushchenko, Maxym"
"Anisimov, Oleg"
"Anokhin, Artem"
"Antonenko, Kostyantyn"
"Antonov, Igor"
"Antonov, Olexiy"
"Antonov, Victor"
"Antonyuk, Dmytro"
"Antonyuk, Ivan"
"Antoshyk, Oleg"
"Antyukh, Denys"
"Apanchuk, Andriy"
"Apostolyuk, Vladyslav"
"Arendaruk, Denys"
"Arkhipov, Nikita"
"Arkhipov, Nikolay"
"Arseniy, Vadym"
"Artemuk, Roman"
"Artym, Andriy"
"Arveladze, Levan"
"Arzhanov, Volodymyr"
"Asieiev, Mykyta"
"Atamanyuk, Mykyta"
"Atamanyuk, Sergiy"
"Atlasyuk, Sergiy"
"Avagimyan, Artur"
"Avdeev, Sergey"
"Averin, Maxym"
"Averjanov, Islam"
"Aver'yanov, Maxym"
"Avramenko, Olexandr"
"Avramenko, Vladyslav"
"Azarov, Vadym"
"Azatskyi, Mykyta"
"Azatskyi, Olexandr"
"Aziziov, Davronbek"
"Azovskyi, Olexandr"
"Baban, Dmytro"
"Babayan, Davyd"
"Babenko, Dmytro"
"Babenko, Ruslan"
"Babichyn, Victor"
"Babiy, Vladyslav"
"Baboglo, Vladyslav"
"Baburin, Yegor"
"Babych, Sergiy"
"Babyr, Olexiy"
"Baenko, Volodymyr"
"Bagnyuk, Oleg"
"Balakhnin, Dmitry"
"Balan, Denys"
"Balan, Valentyn"
"Balanyuk, Denys"
"Balashov, Vitaliy"
"Banada, Eugene"
"Banasevych, Maxym"
"Bandura, Olexandr"
"Baranets, Borys"
"Baranets, Grygoriy"
"Barannik, Oleg"
"Baranovskyi, Artem"
"Baranovskyi, Victor"
"Barchuk, Roman"
"Barchuk, Vasyl"
"Bardadym, Dmytro"
"Bardetskyi, Artem"
"Barilko, Volodymyr"
"Barsky, Roslan"
"Bars'kyi, Vladyslav"
"Barvinko, Volodymyr"
"Barylyak, Ruslan"
"Bashlay, Dmytro"
"Bashtanenko, Olexiy"
"Basov, Sergiy"
"Batalskyi, Olexandr"
"Batischev, Olexandr"
"Batsula, Andriy"
"Batusov, Dmytro"
"Batyushyn, Yuriy"
"Baydal, Anton"
