"Name"
"Cabaye, Yohan"
"Chang, Jean-Claude"
"Fabio"
"Hieu Vo, Tony"
"Hoang, Erik"
"Jeferson"
"Le Giang, Patrik"
"Le, Tien Dung"
"Li Tenglong"
"Lo, Martin"
"Merlo, Gaston"
"Michal Nguyen"
"Mota"
"Nguen, Anton"
"Nguyen Cong Phuong"
"Nguyen Quoc Trung"
"Nguyen Van Quyet"
"Nguyen, Filip"
"Nguyen, Lee"
"Nguyen, Phi"
"Ni Dum, Thawng"
"Olaleye, Samson Kayode"
"Pham Ba, Kevin"
"Pham, Florentin"
"Que Ngoc Hai"
"Rogerinho"
"Tran Thanh Tan"
"Trinh, Kavin"
"Trinh, Martin"
"Truong, Bao Van"
"Truong, Quoc"
"Urai, Ludovic"
